Month,Arrival_diff
1,-19472
2,7143
3,21005
4,99800
5,46574
6,361469
7,55585
8,-136684
9,-10625
10,-159797
11,194442
12,-400747
13,60322
14,197679
15,114249
16,10267
17,55945
18,300421
19,-87078
20,-179612
21,-44724
22,-189192
23,226949
24,-361754
25,26357
26,361685
27,-85224
28,91201
29,77500
30,323724
31,-171397
32,-102418
33,-72275
34,-279435
35,308151
36,-394953
37,-128188
38,262890
39,256838
40,-143475
41,54876
42,380746
43,-115491
44,-156662
45,-15359
46,-212662
47,239104
48,-396480
49,-31788
50,365201
51,31060
52,48556
53,78098
54,381920
55,-717
56,-275867
57,33363
58,-295996
59,315545
60,-512665
61,-4241
62,391525
63,-11470
64,169609
65,-10324
66,434292
67,-35432
68,-376693
69,-51447
70,-415325
71,346977
72,-564920
73,-62256
74,192519
75,383126
76,-141835
77,54219
78,480870
79,-8171
80,-299121
81,62415
82,-462637
83,434687
84,-505843
85,-46933
86,412914
87,-119656
88,318016
89,67851
90,519958
91,-129421
92,-258570
93,23729
94,-528493
95,341034
96,-374860
97,-184423
98,248760
99,454685
100,-81780
101,189306
102,529005
103,-78409
104,-331838
105,-31920
106,-544698
107,327352
108,-378138
109,-162128
110,467047
111,102676
112,96995
113,159795
114,172413
115,326411
116,-358471
117,-178346
118,-428684
119,389382
120,-365346
121,-165693
122,612033
123,-137678
124,293679
125,117142
126,439784
127,153353
128,-503345
129,-62667
130,-514295
131,488608
132,-528504
133,-355354
134,427658
135,525343
136,4285
137,9035
138,579277
139,150587
140,-579823
141,-66664
142,-586070
143,459827
144,-499749
145,-206166
146,553435
147,222621
148,418084
149,-157602
150,783545
151,-114927
152,-415513
153,-56663
154,-678320
155,324857
156,-486794
157,-260367
158,503027
159,-6321
160,318668
161,80111
162,651422
163,-75407
164,-379146
165,-78665
166,-729321
167,425211
168,-320164
169,-423013
170,377594
171,551526
172,-48171
173,133076
174,552341
175,74628
176,-635309
177,34878
178,-624898
179,559013
180,-570449
181,-248849
182,586510
183,112112
184,214993
185,29951
186,516494
187,28807
188,-527162
189,-30189
190,-611678
191,508943
192,-476543
193,-292322
194,283999
195,672211
196,-39688
197,-33780
198,516442
199,61562
200,-577953
201,28031
202,-609118
203,584168
204,-632659
205,-424302
206,-1560847
