"logLik" "logLik_se" "Beta" "mu_IR" "rho" "mu_R1" "mu_R2"
-3722.71543478002 0.010832554808325 0.700864383121318 5.26796032296215 0.992236336384564 0.9 0.8
-3722.68626548052 0.0160317715014914 0.929785350959607 4.91833328815004 0.985442760916068 0.9 0.8
-3722.71818106271 0.0121442745964162 1.18731869456382 5.13571977036878 0.991697606865849 0.9 0.8
-3722.71484229968 0.0125713855834335 1.26382134490023 5.31167073834903 0.99169651551585 0.9 0.8
-3722.71966128212 0.0138308494733361 1.34867807789813 5.41688715755687 0.994869554867452 0.9 0.8
-3722.68633090585 0.0129600350891951 1.54050220813073 5.25550924926517 0.993233142325145 0.9 0.8
-3722.71456470313 0.0164206606651655 1.30370887215628 4.91846333313416 0.990009091116768 0.9 0.8
-3722.7214825397 0.0187042081762551 1.12047698073966 5.04568019938652 0.982907816055986 0.9 0.8
-3722.69198508366 0.0110070571373518 1.87155410180017 4.77244386093998 0.984199573941059 0.9 0.8
-3722.68603858681 0.015957488392062 0.826267190008864 4.82404118541239 0.988304603907062 0.9 0.8
-3722.51410925214 0.00737320204174954 0.883267472577697 4.54440138200758 0.550196701117169 0.99 0.8
-3722.70505367456 0.0164678817532948 1.52841512864185 1.74350081416914 0.987305728181149 0.99 0.8
-3722.53474762722 0.0103458373837698 0.61149052903214 4.4700327072686 0.542706001007278 0.99 0.8
-3722.32022525745 0.00274820109428676 0.804137460336267 3.75024121485427 0.181224649501767 0.99 0.8
-3722.32013532322 0.00294453417915162 0.749634650430155 3.83858596318185 0.179816625820048 0.99 0.8
-3722.69225316621 0.014937382478653 1.01684078867784 1.61614917916455 0.868347184789916 0.99 0.8
-3722.54570608357 0.00915835753394085 1.45534386283397 4.12538703343141 0.534027683859478 0.99 0.8
-3722.47322055374 0.00774891216190934 0.396528248564836 3.78060603936274 0.527954203412765 0.99 0.8
-3722.52056615272 0.00755808954465743 1.22613223489471 4.65786225926032 0.571053897673323 0.99 0.8
-3741.98504811914 0.269765262343807 0.949958497388719 2.1516212051507 0.219058019829086 0.99 0.8
-3082.41588363855 12.6812131161106 0.126862009663762 0.0850099526467977 0.911358648312659 0.99 0.8
-3306.71081560189 3.38189557869993 0.590926271049353 0.0944631291390016 0.818583717511528 0.99 0.8
-3244.74552077636 14.361355864005 0.11857910230852 0.0886738281471243 0.810052136163532 0.99 0.8
