Date,Cumulative,Deaths,Recovered,Current
2003-03-17,95,1,0,94
2003-03-18,123,1,0,122
2003-03-19,150,5,0,145
2003-03-20,173,6,0,167
2003-03-21,203,6,0,197
2003-03-22,222,7,0,215
2003-03-24,260,10,0,250
2003-03-25,286,10,0,276
2003-03-26,316,10,0,306
2003-03-27,367,10,0,357
2003-03-28,425,10,0,415
2003-03-29,470,10,0,460
2003-03-31,530,13,0,517
2003-04-01,685,16,0,669
2003-04-02,708,16,0,692
2003-04-03,734,17,0,717
2003-04-04,761,17,0,744
2003-04-05,800,20,0,780
2003-04-07,883,23,0,860
2003-04-08,928,25,0,903
2003-04-09,970,27,0,943
2003-04-10,998,30,154,814
2003-04-11,1059,32,169,858
2003-04-12,1108,35,215,858
2003-04-14,1190,47,229,914
2003-04-15,1232,56,243,933
2003-04-16,1268,61,257,950
2003-04-17,1297,65,272,960
2003-04-18,1358,81,363,914
2003-04-19,1358,81,363,914
2003-04-21,1402,94,436,872
2003-04-22,1434,99,461,874
2003-04-23,1458,105,522,831
2003-04-24,1488,109,567,812
2003-04-25,1510,115,614,781
2003-04-26,1527,121,632,774
2003-04-28,1557,138,710,709
2003-04-29,1572,150,759,663
2003-04-30,1589,157,791,641
2003-05-01,1600,162,834,604
2003-05-02,1611,170,878,563
2003-05-03,1621,179,898,544
2003-05-05,1637,187,930,520
2003-05-06,1646,193,958,495
2003-05-07,1654,204,984,466
2003-05-08,1661,208,1008,445
2003-05-09,1667,210,1015,442
2003-05-10,1674,212,1035,427
2003-05-12,1683,218,1066,399
2003-05-13,1689,225,1090,374
2003-05-14,1698,227,1128,343
2003-05-15,1703,234,1160,309
2003-05-16,1706,238,1171,297
2003-05-17,1710,243,1191,276
2003-05-19,1714,251,1213,250
2003-05-20,1718,253,1229,236
2003-05-21,1719,255,1237,227
2003-05-22,1722,258,1247,217
2003-05-23,1724,260,1255,209
2003-05-24,1724,262,1266,196
2003-05-26,1726,267,1276,183
2003-05-27,1728,269,1285,174
2003-05-28,1730,270,1295,165
2003-05-29,1732,273,1302,157
2003-05-30,1736,274,1304,158
2003-05-31,1739,278,1310,151
2003-06-02,1746,282,1319,145
2003-06-03,1747,283,1326,138
2003-06-04,1748,283,1339,126
2003-06-05,1748,284,1343,121
2003-06-06,1750,286,1350,114
2003-06-09,1753,288,1365,100
2003-06-10,1754,290,1368,96
2003-06-11,1754,290,1368,96
2003-06-12,1755,291,1377,87
2003-06-13,1755,293,1380,82
2003-06-16,1755,295,1386,74
2003-06-17,1755,295,1387,73
2003-06-18,1755,295,1393,67
2003-06-19,1755,296,1396,63
2003-06-20,1755,296,1403,56
2003-06-23,1755,296,1411,48
2003-06-24,1755,296,1417,42
2003-06-25,1755,296,1419,40
2003-06-26,1755,296,1419,40
2003-06-27,1755,297,1422,36
2003-06-30,1755,298,1429,28
2003-07-01,1755,298,1429,28
2003-07-02,1755,298,1429,28
2003-07-03,1755,298,1429,28
2003-07-04,1755,298,1430,27
2003-07-07,1755,298,1430,27
2003-07-08,1755,298,1430,27
2003-07-09,1755,298,1431,26
2003-07-10,1755,298,1431,26
2003-07-11,1755,298,1433,24
