DATE,WILL5000INDFC
2015-04-23,94.38
2015-04-24,94.53
2015-04-27,94.05
2015-04-28,94.28
2015-04-29,93.90
2015-04-30,92.89
2015-05-01,93.79
2015-05-04,94.07
2015-05-05,92.95
2015-05-06,92.65
2015-05-07,93.01
2015-05-08,94.16
2015-05-11,93.78
2015-05-12,93.55
2015-05-13,93.53
2015-05-14,94.50
2015-05-15,94.57
2015-05-18,94.96
2015-05-19,94.87
2015-05-20,94.81
2015-05-21,95.01
2015-05-22,94.82
2015-05-25,.
2015-05-26,93.86
2015-05-27,94.72
2015-05-28,94.60
2015-05-29,94.04
2015-06-01,94.22
2015-06-02,94.19
2015-06-03,94.48
2015-06-04,93.66
2015-06-05,93.69
2015-06-08,93.07
2015-06-09,93.06
2015-06-10,94.13
2015-06-11,94.34
2015-06-12,93.77
2015-06-15,93.36
2015-06-16,93.88
2015-06-17,94.05
2015-06-18,94.97
2015-06-19,94.52
2015-06-22,95.05
2015-06-23,95.16
2015-06-24,94.43
2015-06-25,94.15
2015-06-26,94.12
2015-06-29,92.13
2015-06-30,92.43
2015-07-01,92.98
2015-07-02,92.90
2015-07-03,.
2015-07-06,92.56
2015-07-07,93.09
2015-07-08,91.57
2015-07-09,91.81
2015-07-10,92.94
2015-07-13,93.97
2015-07-14,94.42
2015-07-15,94.22
2015-07-16,94.91
2015-07-17,94.93
2015-07-20,94.90
2015-07-21,94.47
2015-07-22,94.29
2015-07-23,93.73
2015-07-24,92.77
2015-07-27,92.16
2015-07-28,93.29
2015-07-29,94.00
2015-07-30,94.07
2015-07-31,93.96
2015-08-03,93.65
2015-08-04,93.49
2015-08-05,93.74
2015-08-06,92.94
2015-08-07,92.64
2015-08-10,93.83
2015-08-11,92.98
2015-08-12,93.08
2015-08-13,92.96
2015-08-14,93.36
2015-08-17,93.94
2015-08-18,93.62
2015-08-19,92.83
2015-08-20,90.79
2015-08-21,88.15
2015-08-24,84.70
2015-08-25,83.70
2015-08-26,86.70
2015-08-27,88.81
2015-08-28,89.02
2015-08-31,88.32
2015-09-01,85.79
2015-09-02,87.30
2015-09-03,87.45
