"logLik","logLik_se","b1","b2","b3","b4","b5","b6","psi","rho","tau","sigma_dem","sigma_env","SO_0","IO_0","delta","K","SB1_0","SB2_0","SB3_0","SB4_0","SB5_0","SB6_0"
-6259.26922668351,15.8124912285562,4.02170178173932,-0.359636389428972,1.22112208717464,5.91695669873839,5.18822917857884,3.70198504721634,0.0152822690578223,0.00944592900699305,0.00786945498357525,0.0620110097503671,1.63595188159749,0.449115830839756,0.0025436983075792,0.0166666666666667,6,10904.1666666667,10904.1666666667,10904.1666666667,10904.1666666667,10904.1666666667,10904.1666666667
-5711.38054819978,29.4072069348895,2.08786775973922,-0.373780265158529,1.76721196977489,6.69000620160263,6.20888725840412,3.17687985235028,0.00123052381049564,0.115211109796491,0.00158837795081996,0.0498210668656026,2.29121732715804,0.272322963721683,0.00141259627103467,0.0166666666666667,6,10904.1666666667,10904.1666666667,10904.1666666667,10904.1666666667,10904.1666666667,10904.1666666667
-6563.60744554042,10.109893040225,2.63105847634927,-1.08662040409629,2.13144414013661,7.2618050092072,7.13412123578425,5.00040630887526,0.00429760194227742,0.0124793787254714,0.0145365686543143,0.0228778731405746,0.482829619373452,0.288076326796751,0.000936016732747254,0.0166666666666667,6,10904.1666666667,10904.1666666667,10904.1666666667,10904.1666666667,10904.1666666667,10904.1666666667
-6689.91565404557,44.6931470909585,2.88580779937713,1.09211667350648,2.20706085226451,6.38509642522752,6.95983854828719,1.85703395717541,0.00394431863114129,0.0265020225994114,0.000608062547870738,0.0497263176642892,1.70660335844079,0.198281186314684,0.00297376006367598,0.0166666666666667,6,10904.1666666667,10904.1666666667,10904.1666666667,10904.1666666667,10904.1666666667,10904.1666666667
-5833.09399593189,75.0349240595951,3.13444478995147,0.442136577529768,0.991390263838586,6.78004814038626,6.02406569966198,3.22068116171765,0.00387625247413505,0.0821572827849164,0.0010070964323522,0.051408290043535,1.09826341262668,0.252376413863909,0.00116433368586499,0.0166666666666667,6,10904.1666666667,10904.1666666667,10904.1666666667,10904.1666666667,10904.1666666667,10904.1666666667
-6069.66678745714,104.8212286275,2.50153770639444,1.41265271125776,1.28021203878888,6.33423867238193,5.54376789946862,3.65291114601502,0.00304254306492632,0.0434665878970545,0.000887247221631065,0.0191859155577448,1.00051581993304,0.426079659082399,0.00140367068641929,0.0166666666666667,6,10904.1666666667,10904.1666666667,10904.1666666667,10904.1666666667,10904.1666666667,10904.1666666667
-5813.61110710301,16.1862690470075,2.55527010292379,1.20211056198862,1.87523767764715,6.17968093604548,5.47134121685461,3.18889133174935,0.0137884532696023,0.0597601877295098,0.00260978163245474,0.0166257703623159,1.70587245061845,0.231769651891276,0.000807759021429331,0.0166666666666667,6,10904.1666666667,10904.1666666667,10904.1666666667,10904.1666666667,10904.1666666667,10904.1666666667
-6061.52229099751,111.262136049435,2.98778430387717,0.275829617699324,0.934315083153233,6.22108475859313,6.16320084492882,2.15657032216299,0.00270940451841412,0.0398597686669091,0.000869485573809453,0.0399534304136089,1.7194370938837,0.526524831339393,0.000515683125331475,0.0166666666666667,6,10904.1666666667,10904.1666666667,10904.1666666667,10904.1666666667,10904.1666666667,10904.1666666667
-6101.37658381031,12.2942961406125,5.26329928272825,0.27454805102779,1.0744437968369,5.97225782276858,5.74257821431894,2.58942292798189,0.00457529500739151,0.0274871463152265,0.00665813285350868,0.106423897348321,2.43314163238323,0.402248367374087,0.00100041917170009,0.0166666666666667,6,10904.1666666667,10904.1666666667,10904.1666666667,10904.1666666667,10904.1666666667,10904.1666666667
-6257.40869070565,26.3469013798353,3.80726169783173,-0.0733430581396404,2.27032716572245,6.48198908909582,5.92099181967505,3.03125087318287,0.0135231743693544,0.0340289832647548,0.00228272247711985,0.0112800497341299,1.99261639627623,0.208591158406873,0.00103698753152337,0.0166666666666667,6,10904.1666666667,10904.1666666667,10904.1666666667,10904.1666666667,10904.1666666667,10904.1666666667
-1745.43602953703,3.48401878121308,-0.277105347323646,-0.94325499709326,3.99289494937888,-0.59909152290486,0.918760561780208,5.94097346071842,0.0782888559355666,0.117991037411913,0.0626186986197157,0.0142795072893545,0.0786227401484651,0.67715561163997,0.00630957632691006,0.0166666666666667,6,10904.1666666667,10904.1666666667,10904.1666666667,10904.1666666667,10904.1666666667,10904.1666666667
-3981.8876157678,86.3417031985521,7.02609317212972,7.43985247117615,-1.4124970517432,-1.19037420680173,4.92869769975164,5.24939818332264,0.00458109117238711,0.106753604693547,0.123880168653001,1.14671513557431,0.4252859367862,0.707626580572931,0.00104249181722643,0.0166666666666667,6,10904.1666666667,10904.1666666667,10904.1666666667,10904.1666666667,10904.1666666667,10904.1666666667
-1648.30557564416,4.25318842374588,1.29526406077843,7.26733404268054,0.598583976319442,4.54362561005717,4.13098469288959,4.63155504591654,0.0927546337130269,0.149309152288175,0.0341708612218476,0.043829989587627,0.773758257002607,0.618455065304767,0.00322283996884498,0.0166666666666667,6,10904.1666666667,10904.1666666667,10904.1666666667,10904.1666666667,10904.1666666667,10904.1666666667
-2098.1377141108,14.8037541511237,6.3181538852685,1.91810616223841,3.38236722462071,-1.01066036472098,6.03145338091575,5.03241797916355,0.837017689487702,0.122925543424193,0.345720144057483,0.399627856574036,0.315349625479423,0.0766588550764793,0.0130883436804727,0.0166666666666667,6,10904.1666666667,10904.1666666667,10904.1666666667,10904.1666666667,10904.1666666667,10904.1666666667
-1747.66731547368,6.73311347739173,4.4225989892764,-2.48813380201794,3.04645578261195,5.33089587799215,-1.5185776521801,-2.16071398158427,0.105849305242679,0.157580935455648,0.0776206191085769,0.17882598366862,0.160733225579676,0.387947569081349,0.00848158306129883,0.0166666666666667,6,10904.1666666667,10904.1666666667,10904.1666666667,10904.1666666667,10904.1666666667,10904.1666666667
-1736.83831994673,2.37843014783573,3.44066943903382,-2.47296127360421,5.46085131330876,5.36232524687834,3.76420433847114,7.26711163624633,0.135141844293172,0.213472411131343,0.0495945437208217,0.573386146463108,0.796770638861192,0.442679509531515,0.00820118336748348,0.0166666666666667,6,10904.1666666667,10904.1666666667,10904.1666666667,10904.1666666667,10904.1666666667,10904.1666666667
-3258.65650229222,93.9626228003146,4.14579363452985,1.70780050120743,5.60489782792851,3.16702214471141,2.52400589103336,0.61433986869392,0.00750405227143127,0.00821043535396321,0.16972479005147,1.02739523458557,1.29801633109242,0.340171358885841,0.00207001113003722,0.0166666666666667,6,10904.1666666667,10904.1666666667,10904.1666666667,10904.1666666667,10904.1666666667,10904.1666666667
-2352.98991474973,0.804419659373934,7.80583664725862,3.5396291153958,4.38842917172493,0.625859288171351,0.205742451199829,5.37637244661321,4.54967168400572,1.17470656293151,0.92102205386652,0.0287486728941315,0.244769249209591,0.301699027623394,0.0254520123712214,0.0166666666666667,6,10904.1666666667,10904.1666666667,10904.1666666667,10904.1666666667,10904.1666666667,10904.1666666667
-1918.35634180211,7.51458338137581,3.91433994062874,6.63166356507103,6.36469532171248,7.06560149264496,3.07012847362801,-0.40821131726616,0.0305805309016468,0.0266652724488711,0.24569341044376,0.0124655862814494,1.33914793523034,0.72969924977662,0.00163753646531407,0.0166666666666667,6,10904.1666666667,10904.1666666667,10904.1666666667,10904.1666666667,10904.1666666667,10904.1666666667
