"","Active infections ","Recovered "
"28.02","1",""
"29.02","1",""
"01.03","4",""
"02.03","10",""
"03.03","15",""
"04.03","29",""
"05.03","37",""
"06.03","47",""
"07.03","54",""
"08.03","59",""
"09.03","68",""
"10.03","82",""
"11.03","106",""
"12.03","122",""
"13.03","142",""
"14.03","164","2"
"15.03","183","3"
"16.03","204","7"
"17.03","252","11"
"18.03","321","20"
"19.03","393","25"
"20.03","442","36"
"21.03","530","39"
"22.03","550","41"
"23.03","603","54"
"24.03","700","63"
"25.03","726","79"
"26.03","798","94"
"27.03","850","112"
"28.03","893","125"
"29.03","940","144"
"30.03","957","178"
"31.03","990","228"
"01.04","1045","270"
"02.04","1046","314"
"03.04","1019","395"
"04.04","1056","428"
"05.04","1096","460"
"06.04","1021","559"
"07.04","977","633"
"08.04","954","688"
"09.04","918","750"
"10.04","840","842"
"11.04","802","891"
"12.04","767","936"
"13.04","725","987"
"14.04","642","1077"
"15.04","586","1145"
"16.04","520","1225"
"17.04","458","1293"
"18.04","432","1330"
"19.04","400","1364"
"20.04","350","1418"
"21.04","312","1463"
"22.04","269","1510"
"23.04","236","1543"
"24.04","210","1570"
