"","Time","pos_count","neu_count","neg_count","price"
"1","01/2001",787,6316,250,29
"2","02/2001",654,6477,271,26.514999
"3","03/2001",787,6316,250,22.58
"4","04/2001",584,6640,271,23.094999
"5","05/2001",620,6660,255,23.700001
"6","06/2001",585,6642,270,22.5
"7","07/2001",738,6643,222,22.299999
"8","08/2001",777,6633,218,24.334999
"9","09/2001",745,6641,221,23.424999
"10","10/2001",793,6637,230,23.940001
"11","11/2001",778,6649,240,23.48
"12","12/2001",753,6669,246,23.575001
"13","01/2002",721,6695,247,21.875
"14","02/2002",689,6740,238,23.695
"15","03/2002",712,6703,245,26.129999
"16","04/2002",728,7452,249,27.754999
"17","05/2002",859,8467,305,27.780001
"18","06/2002",762,7737,263,28
"19","07/2002",1223,11018,474,24.969999
"20","08/2002",1331,11759,528,25.5
"21","09/2002",1278,11394,501,23.98
"22","10/2002",1321,11716,537,23.24
"23","11/2002",1254,11270,511,22.82
"24","12/2002",1181,10771,478,21.92
"25","01/2003",1127,10391,449,20.23
"26","02/2003",1118,10298,434,20.110001
"27","03/2003",1115,10296,439,20.24
"28","04/2003",1246,10990,448,20.200001
"29","05/2003",1358,11562,466,22.785
"30","06/2003",1312,11332,459,23.205
"31","07/2003",1552,12374,484,22.485001
"32","08/2003",1554,12190,465,21.76
"33","09/2003",1564,12312,474,21.48
"34","10/2003",1329,10537,367,23.200001
"35","11/2003",1174,9552,316,23.25
"36","12/2003",1042,8799,283,25.375
"37","01/2004",971,8533,282,24.620001
"38","02/2004",999,9006,328,24.98
"39","03/2004",984,8849,315,25.15
"40","04/2004",1318,11729,512,25.285
"41","05/2004",1483,12883,566,25.674999
"42","06/2004",1466,12780,563,25.24
"43","07/2004",1618,13154,498,21.93
"44","08/2004",1621,12638,439,22.355
"45","09/2004",1621,12671,442,20.025
"46","10/2004",1567,11295,388,20.33
"47","11/2004",1514,10729,387,19.655001
"48","12/2004",1445,10394,392,20.82
"49","01/2005",1359,10413,396,20.745001
"50","02/2005",1258,10907,392,21.4
"51","03/2005",1249,10972,391,20.834999
"52","04/2005",1065,13311,358,21.719999
"53","05/2005",1058,14701,358,22.315001
"54","06/2005",1176,15812,393,20.875
"55","07/2005",1212,15952,404,21.879999
"56","08/2005",1730,16247,560,22
"57","09/2005",1776,16130,573,21.594999
"58","10/2005",1836,14140,580,21.389999
"59","11/2005",1697,12614,531,21.344999
"60","12/2005",1508,11147,468,20.155001
"61","01/2006",1327,10017,410,20.690001
"62","02/2006",1212,9507,378,20.985001
"63","03/2006",1199,9526,377,20.934999
"64","04/2006",1348,11023,444,20.98
"65","05/2006",1568,12673,526,22.014999
"66","06/2006",1678,13438,564,21.51
"67","07/2006",2116,16175,706,22.25
"68","08/2006",2321,17276,769,22.405001
"69","09/2006",2374,17487,785,22.34
"70","10/2006",2311,16634,765,23.360001
"71","11/2006",2140,15245,711,23.415001
"72","12/2006",1932,13635,644,24.125
"73","01/2007",1739,12178,578,23.940001
"74","02/2007",1616,11245,529,23.34
"75","03/2007",1598,11093,515,24
"76","04/2007",1741,12066,532,26.094999
"77","05/2007",1926,13389,569,26.495001
"78","06/2007",2052,14314,594,26.155001
"79","07/2007",2216,15595,625,26.055
"80","08/2007",2259,15963,628,26.889999
"81","09/2007",2238,15799,616,28.735001
"82","10/2007",2105,14676,569,30.879999
"83","11/2007",1944,13308,518,31.049999
"84","12/2007",1775,11862,470,30.684999
"85","01/2008",1633,10653,435,29.5
"86","02/2008",1554,9993,426,29.23
"87","03/2008",1566,10124,449,30.434999
"88","04/2008",1709,11383,523,29.434999
"89","05/2008",1919,13112,605,28.629999
"90","06/2008",2146,14778,669,25.99
"91","07/2008",2374,16140,698,25.75
"92","08/2008",2554,16972,697,26.035
"93","09/2008",2681,17393,686,26.440001
"94","10/2008",2737,17450,681,22.030001
"95","11/2008",2747,17292,686,23.434999
"96","12/2008",2734,17061,703,22.635
"97","01/2009",2722,16905,736,21.360001
"98","02/2009",2736,16974,786,20.424999
"99","03/2009",2819,17532,869,21.975
