"","Time","pos_count","neu_count","neg_count","price"
"1","01/2001",686,7595,186,48.349998
"2","02/2001",749,8708,200,47.700001
"3","03/2001",686,7595,186,44.630001
"4","04/2001",944,10647,237,41.25
"5","05/2001",1058,11439,257,43.049999
"6","06/2001",952,10705,238,40.060001
"7","07/2001",1185,12142,285,45.029999
"8","08/2001",1135,11798,283,40.91
"9","09/2001",1183,12125,285,47.119999
"10","10/2001",877,10226,260,38.110001
"11","11/2001",744,9440,250,37.380001
"12","12/2001",657,8948,250,39.169998
"13","01/2002",654,8971,264,37.450001
"14","02/2002",766,9705,298,37.84
"15","03/2002",672,9094,271,37.439999
"16","04/2002",1265,13024,413,31.059999
"17","05/2002",1577,15261,481,34.290001
"18","06/2002",1369,13756,436,30.5
"19","07/2002",2077,19042,588,27.66
"20","08/2002",2149,19588,602,24.74
"21","09/2002",2125,19411,598,20.1
"22","10/2002",1927,17872,546,25.66
"23","11/2002",1727,16365,498,28.5
"24","12/2002",1528,14935,451,27.110001
"25","01/2003",1379,13964,415,24.440001
"26","02/2003",1324,13825,401,20.799999
"27","03/2003",1335,13766,404,20.059999
"28","04/2003",1493,15881,444,23.360001
"29","05/2003",1653,17442,494,25.459999
"30","06/2003",1588,16822,473,25.549999
"31","07/2003",1934,19872,596,23.360001
"32","08/2003",1970,19975,612,22.459999
"33","09/2003",1970,20058,611,22.25
"34","10/2003",1790,17685,545,23.98
"35","11/2003",1654,16080,490,23.280001
"36","12/2003",1541,14721,439,26.07
"37","01/2004",1495,14022,407,25.5
"38","02/2004",1556,14399,407,24.01
"39","03/2004",1534,14227,404,24.540001
"40","04/2004",1991,18192,501,24.9
"41","05/2004",2256,20414,557,23.700001
"42","06/2004",2225,20165,551,24.25
"43","07/2004",2633,23094,622,25.34
"44","08/2004",2681,23216,638,25.790001
"45","09/2004",2682,23234,637,25.950001
"46","10/2004",2450,21030,652,25.26
"47","11/2004",2247,19350,650,25.17
"48","12/2004",2041,17742,640,25.77
"49","01/2005",1877,16556,622,23.76
"50","02/2005",1797,16139,596,24.059999
"51","03/2005",1796,16149,593,23.690001
"52","04/2005",1953,18031,530,23.799999
"53","05/2005",2107,19555,516,23.379999
"54","06/2005",2130,19772,516,23.75
"55","07/2005",2359,21782,562,24.450001
"56","08/2005",2420,22218,600,24.08
"57","09/2005",2426,22241,607,23.969999
"58","10/2005",2374,21541,644,23.85
"59","11/2005",2289,20665,648,24.91
"60","12/2005",2183,19638,643,24.49
"61","01/2006",2073,18611,630,25.950001
"62","02/2006",1973,17740,609,27.59
"63","03/2006",1944,17500,601,27.040001
"64","04/2006",1861,16941,557,26.209999
"65","05/2006",1863,17018,534,26.059999
"66","06/2006",1876,17134,527,27.889999
"67","07/2006",1977,17821,515,29.99
"68","08/2006",2040,18154,517,31.129999
"69","09/2006",2057,18197,519,32.560001
"70","10/2006",2037,17713,528,34.25
"71","11/2006",1984,17091,534,33.91
"72","12/2006",1924,16445,540,35.75
"73","01/2007",1876,15959,546,37.630001
"74","02/2007",1860,15818,550,36.799999
"75","03/2007",1876,15985,552,39.43
"76","04/2007",1983,17080,554,38.720001
"77","05/2007",2087,18138,556,41.34
"78","06/2007",2150,18794,559,41.5
"79","07/2007",2216,19523,569,39.16
"80","08/2007",2203,19474,572,39.869999
"81","09/2007",2151,19016,565,42.310001
"82","10/2007",1984,17455,533,41.790001
"83","11/2007",1802,15716,493,38.209999
"84","12/2007",1606,13819,449,41.560001
"85","01/2008",1424,12017,407,38.490002
"86","02/2008",1281,10563,373,34.830002
"87","03/2008",1205,9710,354,38.299999
"88","04/2008",1221,9711,357,38.709999
"89","05/2008",1344,10711,386,39.900002
"90","06/2008",1572,12681,441,33.689999
"91","07/2008",1722,13963,484,30.809999
"92","08/2008",1768,14308,508,31.99
"93","09/2008",1745,14030,518,27.92
"94","10/2008",1680,13378,518,26.77
"95","11/2008",1597,12543,513,28.559999
"96","12/2008",1536,11905,507,28.5
"97","01/2009",1489,11374,501,24.620001
"98","02/2009",1466,11032,497,23.77
"99","03/2009",1471,10906,497,25.200001
"100","04/2009",1507,11024,503,25.620001
"101","05/2009",1597,11532,519,24.790001
"102","06/2009",1685,12088,536,24.84
"103","07/2009",1813,12935,559,26.23
"104","08/2009",1967,13998,578,26.049999
"105","09/2009",2034,14480,579,27.01
"106","10/2009",2094,14912,573,25.67
"107","11/2009",2115,14949,564,26.940001
"108","12/2009",2100,14709,565,28.030001
"109","01/2010",2063,14172,575,25.360001
"110","02/2010",2033,13688,592,24.809999
"111","03/2010",2061,13677,622,25.84
"112","04/2010",2110,14039,634,26.059999
"113","05/2010",2228,15027,656,24.299999
"114","06/2010",2383,16464,684,24.190001
"115","07/2010",2404,16716,692,25.940001
"116","08/2010",2400,16842,706,27.030001
"117","09/2010",2318,16437,721,28.6
"118","10/2010",2291,16279,724,28.52
"119","11/2010",2228,15910,728,27.790001
"120","12/2010",2170,15561,729,29.379999
"121","01/2011",2120,15264,726,27.52
"122","02/2011",2083,15052,718,28.379999
"123","03/2011",2056,14975,691,30.610001
"124","04/2011",2057,15008,685,31.120001
"125","05/2011",2078,15218,665,31.559999
"126","06/2011",2193,15897,675,31.41
"127","07/2011",2216,16006,684,29.26
"128","08/2011",2329,16466,742,28.48
"129","09/2011",2454,16662,838,28.52
"130","10/2011",2452,16604,841,29.309999
"131","11/2011",2387,15960,831,28.98
"132","12/2011",2255,14983,787,30.24
"133","01/2012",2092,13893,723,29.41
"134","02/2012",1933,12908,654,30.59
"135","03/2012",1764,12131,564,31.23
"136","04/2012",1764,12137,564,32.91
"137","05/2012",1810,12677,567,34.169998
"138","06/2012",2035,14435,633,35.66
"139","07/2012",2031,14408,632,37.919998
"140","08/2012",2117,14874,663,36.639999
"141","09/2012",2171,14793,688,37.700001
"142","10/2012",2173,14821,689,34.59
"143","11/2012",2141,14507,674,34.130001
"144","12/2012",2080,14108,645,33.709999
