"logLik" "logLik_se" "Beta_6" "Beta_7" "Beta_8" "gamma" "rho" "base" "Rz_0" "init1" "init2" "init3" "init4" "init5" "init6" "init7" "init8" "initI"
"result.1" -531.726832909176 0.407956145267025 0.0031831979233767 0.0300139637834316 0.0182597941711789 0.440118787425234 0.27761728569861 0.268087070735122 17 0.151138292026952 0.155149283971122 0.164828680064955 0.131756694423717 0.118044481745128 0.186203261435663 0.0892705945404008 0.0492690282859354 0.025603935928214
"result.2" -527.894163392436 0.656411397160609 0.0191165043939489 0.044174157547908 0.027682026104687 0.533094264461133 0.309678810970937 0.268672566750359 17 0.0825990194817349 0.0456129538167116 0.0375104156257921 0.0800815677520359 0.0173484149383138 0.158157909485912 0.201465040723018 0.164083488864729 0.065865712122027
"result.3" -526.984274198581 0.479071620114871 0.00820767024285352 0.0406863244082313 0.0174783452767779 0.432865482697584 0.300557254380135 0.246426525734768 17 0.118603133260591 0.0315033292148996 0.0723402895297477 0.0617093042691085 0.070638239928415 0.119164921018344 0.456040215801341 0.0302711382428041 0.0147993126231859
"result.4" -527.679708314437 0.325694885457597 0.0100853987547602 0.0556990515684133 0.027701483456314 0.433738898046848 0.306709421555982 0.270399916245184 17 0.211173430109575 0.0453745343671873 0.162125642017765 0.0415672211233186 0.0594761158206486 0.0592902405356742 0.219876095876775 0.179471186605062 0.07455293713396
"result.5" -543.137877759342 1.60508993542975 0.00658843755876303 0.0623291156689313 0.0074152035927058 0.542353124701053 0.226202677470421 0.33140991247819 17 0.11394510276215 0.124372789999108 0.0845129493351179 0.0573626214752873 0.167475944281977 0.198424451979109 0.0901440540537133 0.101557200670396 0.0725574219917301
"result.6" -528.16803541472 0.328604342170092 0.0110620017065994 0.0616408434490488 0.00840960369919259 0.331334303245282 0.300063586234705 0.245974443378679 17 0.0736439646071004 0.0469008234100502 0.0271344801667192 0.171181053900941 0.0447161041865496 0.23989761400751 0.247866069383784 0.513771836889293 0.0136328106762621
"result.7" -530.286831507637 3.16557117499732 0.0110255804234815 0.0327693997240272 0.0180728855831316 0.189893845795161 0.299547296342576 0.284765047736821 17 0.0258852149483802 0.166502651782265 0.0825972343058926 0.22821478213621 0.177903880627065 0.0461275985905633 0.0748232864628817 0.0510221183927813 0.0419564943592266
"result.8" -530.204256597365 1.8939999833498 0.00375378464658251 0.0287910383004525 0.0208409838370368 0.308658493127685 0.314636527945317 0.324416907492826 17 0.0868961311242837 0.0821972255006021 0.0436077744139755 0.160969348002374 0.0858516050810666 0.103230489549861 0.119575750889321 0.0895977437197326 0.0102226375443624
"result.9" -528.60561614528 0.588128335883829 0.00655724578031309 0.0511613309719302 0.0114272906587909 0.397099149416476 0.307584914176773 0.25191613594534 17 0.0784076094306834 0.42454383329324 0.130198711317932 0.122222400097994 0.0491393625218121 0.0310720661694404 0.138146533545569 0.0442940685353172 0.0214580808923143
"result.10" -531.572386872707 0.300540447717627 0.0108563173379589 0.0335332831524852 0.0230077899064086 0.44146065456232 0.263540134724926 0.272066928433545 17 0.0558749817079038 0.129798574343294 0.0436306301324533 0.063933026372726 0.336242637904401 0.0834951410140624 0.432769995530722 0.0347301069546422 0.0783853936088989
"result.11" -526.943308750749 0.786224910839467 0.0123708420260424 0.0466415746545605 0.0112593791898518 0.450280331226132 0.306331692147176 0.280386771274426 17 0.154770951103241 0.116036452475545 0.279684153910763 0.0492570110062349 0.104667186378915 0.115374507260226 0.0545827546467992 0.274624793059583 0.0171394386512194
"result.12" -530.920685290929 0.385677241610813 0.0214212683629801 0.0239684359938069 0.0150863657877051 0.375030686116422 0.33748564667057 0.238624485828877 17 0.428668254592561 0.0222629177469815 0.0973769232025214 0.0204739495541517 0.209269547830854 0.0262115048320535 0.315021428855191 0.0315547181234319 0.0164174495557833
"result.13" -531.585639435364 0.764390202685254 0.0154372617610386 0.0132710663567368 0.0275660941745721 0.286657792707911 0.342634099587903 0.23818096363046 17 0.0389303070289192 0.0282509756199994 0.0728527209409346 0.0930293795390928 0.1440825053867 0.0849436968238247 0.0422390464824439 0.0313022559207825 0.0183626248231565
"result.14" -526.927392252565 0.487846495946978 0.0147802364337279 0.0540349164740823 0.0240682815930301 0.502552391440441 0.269100701335277 0.280970734819343 17 0.195906244158106 0.0678001606642509 0.0647076272457798 0.136170483137913 0.0609204220801337 0.025475628602034 0.200572068937269 0.0412091064636227 0.0206040586950856
