Commodity Code,Partner,Period,Trade Flow,Trade Value,Growth Rate
TOTAL,World,199408,Exports,10213000,0.027122295
TOTAL,World,199409,Exports,10490000,-0.005624404
TOTAL,World,199410,Exports,10431000,0.207937877
TOTAL,World,199411,Exports,12600000,0.468730159
TOTAL,World,199412,Exports,18506000,-0.55744083
TOTAL,World,199501,Exports,8190000,0.208791209
TOTAL,World,199502,Exports,9900000,0.300909091
TOTAL,World,199503,Exports,12879000,-0.068250641
TOTAL,World,199504,Exports,12000000,0.069416667
TOTAL,World,199505,Exports,12833000,0.093898543
TOTAL,World,199506,Exports,14038000,-0.125801396
TOTAL,World,199507,Exports,12272000,0.021186441
TOTAL,World,199508,Exports,12532000,-0.008059368
TOTAL,World,199509,Exports,12431000,-0.007079077
TOTAL,World,199510,Exports,12343000,-0.013367901
TOTAL,World,199511,Exports,12178000,0.416078174
TOTAL,World,199512,Exports,17245000,-0.46851557
TOTAL,World,199601,Exports,9165449,-0.055814942
TOTAL,World,199602,Exports,8653880,0.202594674
TOTAL,World,199603,Exports,10407110,0.093644826
TOTAL,World,199604,Exports,11381682,0.067983273
TOTAL,World,199605,Exports,12155446,0.0090617
TOTAL,World,199606,Exports,12265595,0.013057826
TOTAL,World,199607,Exports,12425757,0.137503172
TOTAL,World,199608,Exports,14134338,-0.050600106
TOTAL,World,199609,Exports,13419139,0.134129619
TOTAL,World,199610,Exports,15219043,-0.105035119
TOTAL,World,199611,Exports,13620509,0.34547101
TOTAL,World,199612,Exports,18326000,-0.361978555
TOTAL,World,199701,Exports,11692381,-0.157857925
TOTAL,World,199702,Exports,9846646,0.426540062
TOTAL,World,199703,Exports,14046635,0.053252256
TOTAL,World,199704,Exports,14794650,0.026882691
TOTAL,World,199705,Exports,15192370,0.011906964
TOTAL,World,199706,Exports,15373265,0.011215444
TOTAL,World,199707,Exports,15545683,0.030985644
TOTAL,World,199708,Exports,16027376,0.033396733
TOTAL,World,199709,Exports,16562638,0.075710886
TOTAL,World,199710,Exports,17816610,-0.059756991
TOTAL,World,199711,Exports,16751943,0.145561563
TOTAL,World,199712,Exports,19190382,-0.339475577
TOTAL,World,199801,Exports,12675716,-0.040868776
TOTAL,World,199802,Exports,12157675,0.264806881
TOTAL,World,199803,Exports,15377111,0.03737347
TOTAL,World,199804,Exports,15951807,-0.064275038
TOTAL,World,199805,Exports,14926504,0.04571278
TOTAL,World,199806,Exports,15608836,0.035147144
TOTAL,World,199807,Exports,16157442,-0.037147836
TOTAL,World,199808,Exports,15557228,-0.00524785
TOTAL,World,199809,Exports,15475586,-0.048195461
TOTAL,World,199810,Exports,14729733,0.027009858
TOTAL,World,199811,Exports,15127581,0.322172725
TOTAL,World,199812,Exports,20001275,-0.430405962
TOTAL,World,199901,Exports,11392607,-0.034456907
TOTAL,World,199902,Exports,11000053,0.35253312
TOTAL,World,199903,Exports,14877936,-0.004957206
TOTAL,World,199904,Exports,14804183,0.049159079
TOTAL,World,199905,Exports,15531943,-0.008619656
TOTAL,World,199906,Exports,15398063,0.126028904
TOTAL,World,199907,Exports,17338664,0.056905942
TOTAL,World,199908,Exports,18325337,0.013692845
TOTAL,World,199909,Exports,18576263,-0.018536882
TOTAL,World,199910,Exports,18231917,0.068270824
TOTAL,World,199911,Exports,19476625,0.039125464
TOTAL,World,199912,Exports,20238657,-0.170039939
TOTAL,World,200001,Exports,16797277,-0.120370522
TOTAL,World,200002,Exports,14775380,0.363517013
TOTAL,World,200003,Exports,20146482,0.017566839
TOTAL,World,200004,Exports,20500392,-0.019278461
TOTAL,World,200005,Exports,20105176,0.103843607
TOTAL,World,200006,Exports,22192970,-0.032193122
TOTAL,World,200007,Exports,21478509,0.086164082
TOTAL,World,200008,Exports,23329185,-0.015255355
TOTAL,World,200009,Exports,22973290,-0.007544239
TOTAL,World,200010,Exports,22799974,-0.028293585
TOTAL,World,200011,Exports,22154881,-0.007616019
TOTAL,World,200012,Exports,21986149,-0.230130252
TOTAL,World,200101,Exports,16926471,0.134236664
TOTAL,World,200102,Exports,19198624,0.205242782
TOTAL,World,200103,Exports,23139003,-0.014988632
TOTAL,World,200104,Exports,22792181,-0.086813719
TOTAL,World,200105,Exports,20813507,0.060899156
