Date	Day	DailyReturn
03/27/19	1.00	1765.70 
03/28/19	2.00	1773.42 
03/29/19	3.00	1780.75 
04/01/19	4.00	1814.19 
04/02/19	5.00	1813.98 
04/03/19	6.00	1820.70 
04/04/19	7.00	1818.86 
04/05/19	8.00	1837.28 
04/08/19	9.00	1849.86 
04/09/19	10.00	1835.84 
04/10/19	11.00	1847.33 
04/11/19	12.00	1844.07 
04/12/19	13.00	1843.06 
04/15/19	14.00	1844.87 
04/16/19	15.00	1863.04 
04/17/19	16.00	1864.82 
04/18/19	17.00	1861.69 
04/22/19	18.00	1887.31 
04/23/19	19.00	1923.77 
04/24/19	20.00	1901.75 
04/25/19	21.00	1902.25 
04/26/19	22.00	1950.63 
04/29/19	23.00	1938.43 
04/30/19	24.00	1926.52 
05/01/19	25.00	1911.52 
05/02/19	26.00	1900.82 
05/03/19	27.00	1962.46 
05/06/19	28.00	1950.55 
05/07/19	29.00	1921.00 
05/08/19	30.00	1917.77 
05/09/19	31.00	1899.87 
05/10/19	32.00	1889.98 
05/13/19	33.00	1822.68 
05/14/19	34.00	1840.12 
05/15/19	35.00	1871.15 
05/16/19	36.00	1907.57 
05/17/19	37.00	1869.00 
05/20/19	38.00	1858.97 
05/21/19	39.00	1857.52 
05/22/19	40.00	1859.68 
05/23/19	41.00	1815.48 
05/24/19	42.00	1823.28 
05/28/19	43.00	1836.43 
05/29/19	44.00	1819.19 
05/30/19	45.00	1816.32 
05/31/19	46.00	1775.07 
06/03/19	47.00	1692.69 
06/04/19	48.00	1729.56 
06/05/19	49.00	1738.50 
06/06/19	50.00	1754.36 
06/07/19	51.00	1804.03 
06/10/19	52.00	1860.63 
06/11/19	53.00	1863.70 
06/12/19	54.00	1855.32 
06/13/19	55.00	1870.30 
06/14/19	56.00	1869.67 
06/17/19	57.00	1886.03 
06/18/19	58.00	1901.37 
06/19/19	59.00	1908.79 
06/20/19	60.00	1918.19 
06/21/19	61.00	1911.30 
06/24/19	62.00	1913.90 
06/25/19	63.00	1878.27 
06/26/19	64.00	1897.83 
