DateTime,SPTAUUSDOZ.IDC,GC00.CMX,Spread,day
2017-01-03,1158.5,1158.7,-0.2,1
2017-01-04,1163.1,1162.8,0.3,2
2017-01-05,1180,1180.1,-0.1,3
2017-01-06,1172.08,1172,0.08,4
2017-01-09,1180.8,1183.2,-2.4,5
2017-01-10,1186.9,1184.7,2.2,6
2017-01-11,1191.3,1190,1.3,7
2017-01-12,1195.39,1195.3,0.09,8
2017-01-13,1197.02,1188.1,8.92,9
2017-01-16,1202,1201.5,0.5,10
2017-01-17,1216.75,1214.6,2.15,11
2017-01-18,1203.97,1203.2,0.77,12
2017-01-19,1204.63,1200.2,4.43,13
2017-01-20,1209.41,1210,-0.59,14
2017-01-23,1217.7,1210,7.7,15
2017-01-24,1208.7,1207.7,1,16
2017-01-25,1199.9,1195.8,4.1,17
2017-01-26,1188.4,1185.6,2.8,18
2017-01-27,1191.27,1188.3,2.97,19
2017-01-30,1191.27,1194.2,-2.93,20
2017-01-31,1210.4,1209.3,1.1,21
2017-02-01,1209.4,1209,0.4,22
2017-02-02,1215.4,1214.9,0.5,23
2017-02-03,1219.4,1219.7,-0.3,24
2017-02-06,1235,1235.2,-0.2,25
2017-02-07,1233,1233.2,-0.2,26
2017-02-08,1241.3,1240.8,0.5,27
2017-02-09,1228.4,1227.7,0.7,28
2017-02-10,1233.53,1233.3,0.23,29
2017-02-13,1225.2,1225.9,-0.7,30
2017-02-14,1228.23,1229,-0.77,31
2017-02-15,1233.3,1230.5,2.8,32
2017-02-16,1239.19,1237.8,1.39,33
2017-02-17,1234.24,1234.8,-0.56,34
2017-02-20,1237.9,1234.8,3.1,35
2017-02-21,1235.62,1237.1,-1.48,36
2017-02-22,1237,1232,5,37
2017-02-23,1249.2,1249.7,-0.5,38
2017-02-24,1256.7,1256.9,-0.2,39
2017-02-27,1252.5,1251.7,0.8,40
2017-02-28,1248.14,1247.4,0.74,41
2017-03-01,1249.3,1248.3,1,42
2017-03-02,1234.09,1232,2.09,43
2017-03-03,1234.4,1234.1,0.3,44
2017-03-06,1225.21,1225.7,-0.49,45
2017-03-07,1215.4,1214.9,0.5,46
2017-03-08,1207.93,1207.9,0.03,47
2017-03-09,1200.8,1203.5,-2.7,48
2017-03-10,1204.14,1199.7,4.44,49
2017-03-13,1203.4,1203.5,-0.1,50
2017-03-14,1198.5,1205.3,-6.8,51
2017-03-15,1219.5,1221.2,-1.7,52
2017-03-16,1225.6,1225.7,-0.1,53
2017-03-17,1228.6,1230.5,-1.9,54
2017-03-20,1233.7,1231.3,2.4,55
2017-03-21,1244.4,1242.3,2.1,56
2017-03-22,1248.2,1247.7,0.5,57
2017-03-23,1244.4,1246.3,-1.9,58
2017-03-24,1243.13,1248.3,-5.17,59
2017-03-27,1254.4,1253.8,0.6,60
2017-03-28,1251.15,1255.9,-4.75,61
2017-03-29,1253.21,1252.2,1.01,62
2017-03-30,1242.85,1241.5,1.35,63
2017-03-31,1248.78,1247.4,1.38,64
2017-04-03,1252.7,1252.4,0.3,65
2017-04-04,1255.65,1254.4,1.25,66
2017-04-05,1254.8,1255.1,-0.3,67
2017-04-06,1251.4,1251.5,-0.1,68
2017-04-07,1253.5,1254,-0.5,69
2017-04-10,1254.33,1252.9,1.43,70
2017-04-11,1274.8,1272.9,1.9,71
2017-04-12,1286,1285.1,0.9,72
2017-04-13,1286.86,1286.3,0.56,73
2017-04-18,1288.9,1290.6,-1.7,74
2017-04-19,1279.6,1281.8,-2.2,75
2017-04-20,1281.1,1281.4,-0.3,76
2017-04-21,1284.03,1285.1,-1.07,77
2017-04-24,1275.8,1275.9,-0.1,78
2017-04-25,1263.3,1263.3,0,79
2017-04-26,1269,1262.5,6.5,80
2017-04-27,1263.4,1264.5,-1.1,81
2017-04-28,1267.91,1267.2,0.71,82
2017-05-02,1256.3,1255.3,1,83
2017-05-03,1236.9,1237.8,-0.9,84
2017-05-04,1226.9,1226.4,0.5,85
2017-05-05,1228.9,1228,0.9,86
2017-05-08,1225.4,1225.4,0,87
2017-05-09,1220.8,1219.7,1.1,88
2017-05-10,1218.1,1217.8,0.3,89
2017-05-11,1224.2,1220,4.2,90
2017-05-12,1227.93,1226.7,1.23,91
2017-05-15,1230,1229,1,92
2017-05-16,1236.9,1236.1,0.8,93
2017-05-17,1260.6,1259.2,1.4,94
2017-05-18,1245.9,1248.1,-2.2,95
2017-05-19,1255,1248.1,6.9,96
2017-05-22,1259.6,1255.3,4.3,97
2017-05-23,1250,1250.6,-0.6,98
2017-05-24,1257.9,1257.8,0.1,99
2017-05-25,1255,1256.2,-1.2,100
2017-05-26,1266.85,1256.2,10.65,101
2017-05-30,1262.75,1261.7,1.05,102
2017-05-31,1268.55,1267.9,0.65,103
2017-06-01,1265,1264.7,0.3,104
2017-06-02,1278.77,1278.5,0.27,105
2017-06-05,1278.8,1278.4,0.4,106
2017-06-06,1293.65,1293.8,-0.15,107
2017-06-07,1286.3,1286.1,0.2,108
2017-06-08,1279.6,1277.3,2.3,109
2017-06-09,1265.9,1266,-0.1,110
2017-06-12,1264.9,1264.5,0.4,111
2017-06-13,1265.9,1266.9,-1,112
2017-06-14,1260.7,1258.6,2.1,113
2017-06-15,1253.3,1253,0.3,114
2017-06-16,1253.1,1253,0.1,115
2017-06-19,1243.3,1241.9,1.4,116
2017-06-20,1242.3,1241.5,0.8,117
2017-06-21,1245.8,1242,3.8,118
2017-06-22,1249.2,1249.9,-0.7,119
2017-06-23,1256.4,1256.2,0.2,120
2017-06-26,1244.05,1244.3,-0.25,121
2017-06-27,1246.55,1249,-2.45,122
2017-06-28,1248.4,1248.5,-0.1,123
2017-06-29,1244.7,1243.4,1.3,124
2017-06-30,1241.33,1239.9,1.43,125
2017-07-03,1218.9,1220.2,-1.3,126
2017-07-04,1223,1223,0,127
2017-07-05,1226.75,1220.3,6.45,128
2017-07-06,1224.65,1222.4,2.25,129
2017-07-07,1212.49,1213.2,-0.71,130
2017-07-10,1213.75,1210.9,2.85,131
2017-07-11,1217.4,1214.9,2.5,132
2017-07-12,1219.75,1217.9,1.85,133
2017-07-13,1216.9,1216.7,0.2,134
2017-07-14,1228.55,1227.5,1.05,135
2017-07-17,1233.75,1233.4,0.35,136
2017-07-18,1242.15,1241.2,0.95,137
2017-07-19,1240.85,1240.1,0.75,138
2017-07-20,1244.15,1236.8,7.35,139
2017-07-21,1254.91,1251.1,3.81,140
2017-07-24,1254.95,1254.9,0.05,141
2017-07-25,1249.45,1250.7,-1.25,142
2017-07-26,1260.35,1247.2,13.15,143
2017-07-27,1258.85,1261.2,-2.35,144
2017-07-28,1268.7,1269,-0.3,145
2017-07-31,1268.95,1268.6,0.35,146
2017-08-01,1268.65,1268.7,-0.05,147
2017-08-02,1266.05,1265.8,0.25,148
2017-08-03,1267.95,1267.8,0.15,149
2017-08-04,1258.4,1258.5,-0.1,150
2017-08-07,1257.35,1256.6,0.75,151
2017-08-08,1260.75,1260.5,0.25,152
2017-08-09,1277.25,1277.4,-0.15,153
2017-08-10,1286.05,1285.5,0.55,154
2017-08-11,1288.77,1290.2,-1.43,155
2017-08-14,1281.35,1281,0.35,156
2017-08-15,1271.15,1270.8,0.35,157
2017-08-16,1282.85,1281.5,1.35,158
2017-08-17,1287.65,1287.2,0.45,159
2017-08-18,1283.58,1286.8,-3.22,160
2017-08-21,1290.95,1290.2,0.75,161
2017-08-22,1284.75,1286.2,-1.45,162
2017-08-23,1290.25,1289,1.25,163
2017-08-24,1285.65,1285.5,0.15,164
2017-08-25,1291.24,1290.5,0.74,165
2017-08-29,1309.05,1314,-4.95,166
2017-08-30,1308.35,1306.4,1.95,167
2017-08-31,1320.65,1322.1,-1.45,168
2017-09-01,1324.65,1325.1,-0.45,169
2017-09-04,1333.4,1332.8,0.6,170
2017-09-05,1339.45,1336.9,2.55,171
2017-09-06,1333.85,1333.4,0.45,172
2017-09-07,1348.75,1349,-0.25,173
2017-09-08,1346.08,1348.7,-2.62,174
2017-09-11,1327.15,1327.3,-0.15,175
2017-09-12,1331.7,1326.4,5.3,176
2017-09-13,1322.35,1326.4,-4.05,177
2017-09-14,1329.17,1329.3,-0.13,178
2017-09-15,1319.7,1321.2,-1.5,179
2017-09-18,1305.95,1306.6,-0.65,180
2017-09-19,1310.36,1309.6,0.76,181
2017-09-20,1300.85,1299.4,1.45,182
2017-09-21,1290.75,1290.3,0.45,183
2017-09-22,1297.1,1295.7,1.4,184
2017-09-25,1310.75,1309.2,1.55,185
2017-09-26,1293.35,1298.8,-5.45,186
2017-09-27,1282.42,1298.8,-16.38,187
2017-09-28,1286.78,1286.6,0.18,188
