time,cases,birth,pop_under_14
2005.083333,0,34658,8986128
2005.166667,0,34658,8986128
2005.25,0,34658,8986128
2005.333333,0,34658,8986128
2005.416667,0,34658,8986128
2005.5,0,34658,8986128
2005.583333,7,34658,8986128
2005.666667,4,36003,8986128
2005.75,4,37413,8986128
2005.833333,40,37283,8986128
2005.916667,594,35737,8986128
2006,1285,33084,8986128
2006.083333,789,40692,8309153
2006.166667,472,37522,8309153
2006.25,476,41209,8309153
2006.333333,994,37666,8309153
2006.416667,1667,37740,8309153
2006.5,1702,35347,8309153
2006.583333,879,35154,8309153
2006.666667,477,37457,8309153
2006.75,358,38471,8309153
2006.833333,631,38556,8309153
2006.916667,1007,37110,8309153
2007,1575,34835,8309153
2007.083333,1492,43704,8217123
2007.166667,934,39485,8217123
2007.25,1225,43578,8217123
2007.333333,1949,40290,8217123
2007.416667,3296,39913,8217123
2007.5,2646,37112,8217123
2007.583333,1501,39522,8217123
2007.666667,595,44041,8217123
2007.75,430,44871,8217123
2007.833333,724,45722,8217123
2007.916667,2051,41865,8217123
2008,3441,36719,8217123
2008.083333,2389,46747,8124051
2008.166667,1100,39495,8124051
2008.25,1253,41318,8124051
2008.333333,1842,38783,8124051
2008.416667,2483,37598,8124051
2008.5,2686,35035,8124051
2008.583333,1702,38042,8124051
2008.666667,821,37787,8124051
2008.75,794,40037,8124051
2008.833333,1164,39886,8124051
2008.916667,2410,36473,8124051
2009,4205,34691,8124051
2009.083333,2485,44149,8028642
2009.166667,1724,36681,8028642
2009.25,2054,39834,8028642
2009.333333,2841,37539,8028642
2009.416667,3884,35864,8028642
2009.5,4239,34122,8028642
2009.583333,2233,35779,8028642
2009.666667,972,36169,8028642
2009.75,835,38187,8028642
2009.833333,1130,37737,8028642
2009.916667,1258,35172,8028642
2010,1542,33616,8028642
2010.083333,1138,42936,7786973
2010.166667,1040,36639,7786973
2010.25,1415,40975,7786973
2010.333333,1755,38336,7786973
2010.416667,2358,37005,7786973
2010.5,2831,36028,7786973
2010.583333,2012,37106,7786973
2010.666667,1028,38392,7786973
2010.75,859,42294,7786973
2010.833333,1441,43625,7786973
2010.916667,3500,41318,7786973
2011,5023,35517,7786973
2011.083333,3498,47577,7728068
2011.166667,2367,38160,7728068
2011.25,2336,43260,7728068
2011.333333,3157,40376,7728068
2011.416667,4890,38958,7728068
2011.5,4406,36766,7728068
2011.583333,2449,38168,7728068
2011.666667,1403,39360,7728068
2011.75,1123,38963,7728068
2011.833333,1768,38359,7728068
2011.916667,3709,37328,7728068
2012,5143,33990,7728068
2012.083333,3258,44984,7521350
2012.166667,1650,40609,7521350
2012.25,1432,43209,7521350
2012.333333,1743,40094,7521350
2012.416667,2800,39388,7521350
2012.5,2889,38170,7521350
2012.583333,1885,40127,7521350
2012.666667,1075,41455,7521350
2012.75,961,41735,7521350
2012.833333,1700,41889,7521350
2012.916667,3387,38579,7521350
2013,4983,34311,7521350
2013.083333,3560,44247,7359685
2013.166667,2000,36645,7359685
2013.25,1868,38540,7359685
2013.333333,2816,36738,7359685
2013.416667,4627,35626,7359685
2013.5,3712,33154,7359685
2013.583333,2298,36188,7359685
2013.666667,1330,36400,7359685
2013.75,1315,37063,7359685
2013.833333,2015,36055,7359685
2013.916667,4449,33827,7359685
2014,7371,31972,7359685
2014.083333,4801,41229,7194323
2014.166667,2322,36754,7194323
2014.25,1947,38021,7194323
2014.333333,3113,37183,7194323
2014.416667,5219,35749,7194323
2014.5,3588,34171,7194323
2014.583333,2560,36390,7194323
2014.666667,1664,36539,7194323
2014.75,1774,37879,7194323
2014.833333,2549,36450,7194323
2014.916667,5940,32379,7194323
2015,8973,32691,7194323
2015.083333,5971,41914,6907000
2015.166667,3176,35709,6907000
2015.25,2497,40329,6907000
2015.333333,3556,38072,6907000
2015.416667,4784,36534,6907000
2015.5,3780,35520,6907000
2015.583333,2569,36612,6907000
2015.666667,1693,35207,6907000
2015.75,1555,36444,6907000
2015.833333,2845,36702,6907000
2015.916667,5705,33467,6907000
2016,8199,31910,6907000
2016.083333,6047,39405,6770000
2016.166667,3109,34830,6770000
2016.25,2902,38131,6770000
2016.333333,4132,35147,6770000
2016.416667,5691,34341,6770000
2016.5,4751,32849,6770000
2016.583333,3376,33920,6770000
2016.666667,2360,33897,6770000
2016.75,2291,34375,6770000
2016.833333,3665,31592,6770000
2016.916667,7395,30366,6770000
2017,8341,27390,6770000
2017.083333,5914,34834,6630000
2017.166667,4130,30499,6630000
2017.25,3948,33196,6630000
2017.333333,6231,30337,6630000
2017.416667,9288,30303,6630000
2017.5,7763,28892,6630000
2017.583333,5206,29418,6630000
2017.666667,3601,30135,6630000
2017.75,4333,30085,6630000
2017.833333,6375,27857,6630000
2017.916667,11065,27068,6630000
2018,12238,25147,6630000
2018.083333,7128,32198,6480000
2018.166667,3758,27575,6480000
2018.25,4283,29987,6480000
2018.333333,7323,27734,6480000
2018.416667,12875,27949,6480000
2018.5,10716,26357,6480000
2018.583333,8820,27033,6480000
2018.666667,5770,27381,6480000
2018.75,4441,26066,6480000
2018.833333,6297,26474,6480000
2018.916667,11299,25301,6480000
2019,13757,22767,6480000
