DATE,IPG3113S
1972-01-01,80.9025
1972-02-01,76.0587
1972-03-01,77.0023
1972-04-01,76.4226
1972-05-01,74.9647
1972-06-01,74.9773
1972-07-01,79.1290
1972-08-01,78.6612
1972-09-01,80.3477
1972-10-01,86.5856
1972-11-01,83.1820
1972-12-01,85.7855
1973-01-01,86.1267
1973-02-01,82.0555
1973-03-01,81.7405
1973-04-01,83.3073
1973-05-01,82.8194
1973-06-01,83.9561
1973-07-01,82.3048
1973-08-01,80.5040
1973-09-01,84.9796
1973-10-01,82.1472
1973-11-01,84.6559
1973-12-01,83.5310
1974-01-01,83.9159
1974-02-01,89.7758
1974-03-01,89.0417
1974-04-01,78.6531
1974-05-01,83.5635
1974-06-01,86.1904
1974-07-01,76.6639
1974-08-01,78.6181
1974-09-01,74.4026
1974-10-01,78.5110
1974-11-01,77.3158
1974-12-01,68.8898
1975-01-01,63.9271
1975-02-01,55.9900
1975-03-01,59.2845
1975-04-01,70.7943
1975-05-01,69.4199
1975-06-01,70.9514
1975-07-01,74.0318
1975-08-01,75.3939
1975-09-01,71.6119
1975-10-01,77.7072
1975-11-01,82.4796
1975-12-01,82.0311
1976-01-01,84.2862
1976-02-01,79.7070
1976-03-01,72.7784
1976-04-01,75.9748
1976-05-01,80.1091
1976-06-01,76.4429
1976-07-01,80.0427
1976-08-01,80.4696
1976-09-01,83.6626
1976-10-01,87.7954
1976-11-01,87.3290
1976-12-01,91.2100
1977-01-01,91.7222
1977-02-01,93.7536
1977-03-01,89.7436
1977-04-01,89.9675
1977-05-01,88.1751
1977-06-01,87.2976
1977-07-01,87.1870
1977-08-01,86.4999
1977-09-01,89.1173
1977-10-01,88.2634
1977-11-01,82.1250
1977-12-01,89.5599
1978-01-01,83.3767
1978-02-01,83.3476
1978-03-01,87.8294
1978-04-01,89.8923
1978-05-01,86.9981
1978-06-01,87.5428
1978-07-01,84.0838
1978-08-01,84.4530
1978-09-01,87.6483
1978-10-01,86.5135
1978-11-01,87.8834
