Month,Arrivals,Year,Time
1,1259378,2003.042,1/1/00
2,1239906,2003.123,2/1/03
3,1247049,2003.204,3/1/03
4,1268054,2003.288,4/1/03
5,1367854,2003.371,5/1/03
6,1414428,2003.455,6/1/03
7,1775897,2003.538,7/1/03
8,1831482,2003.623,8/1/03
9,1694798,2003.707,9/1/03
10,1684173,2003.79,10/1/03
11,1524376,2003.874,11/1/03
12,1718818,2003.958,12/1/03
13,1318071,2004.042,1/1/04
14,1378393,2004.123,2/1/04
15,1576072,2004.204,3/1/04
16,1690321,2004.288,4/1/04
17,1700588,2004.371,5/1/04
18,1756533,2004.455,6/1/04
19,2056954,2004.538,7/1/04
20,1969876,2004.623,8/1/04
21,1790264,2004.707,9/1/04
22,1745540,2004.79,10/1/04
23,1556348,2004.874,11/1/04
24,1783297,2004.958,12/1/04
25,1421543,2005.042,1/1/05
26,1447900,2005.123,2/1/05
27,1809585,2005.204,3/1/05
28,1724361,2005.288,4/1/05
29,1815562,2005.371,5/1/05
30,1893062,2005.455,6/1/05
31,2216786,2005.538,7/1/05
32,2045389,2005.623,8/1/05
33,1942971,2005.707,9/1/05
34,1870696,2005.79,10/1/05
35,1591261,2005.874,11/1/05
36,1899412,2005.958,12/1/05
37,1504459,2006.042,1/1/06
38,1376271,2006.123,2/1/06
39,1639161,2006.204,3/1/06
40,1895999,2006.288,4/1/06
41,1752524,2006.371,5/1/06
42,1807400,2006.455,6/1/06
43,2188146,2006.538,7/1/06
44,2072655,2006.623,8/1/06
45,1915993,2006.707,9/1/06
46,1900634,2006.79,10/1/06
47,1687972,2006.874,11/1/06
48,1927076,2006.958,12/1/06
49,1530596,2007.042,1/1/07
50,1498808,2007.123,2/1/07
51,1864009,2007.204,3/1/07
52,1895069,2007.288,4/1/07
53,1943625,2007.371,5/1/07
54,2021723,2007.455,6/1/07
55,2403643,2007.538,7/1/07
56,2402926,2007.623,8/1/07
57,2127059,2007.707,9/1/07
58,2160422,2007.79,10/1/07
59,1864426,2007.874,11/1/07
60,2179971,2007.958,12/1/07
61,1667306,2008.042,1/1/08
62,1663065,2008.123,2/1/08
63,2054590,2008.204,3/1/08
64,2043120,2008.288,4/1/08
65,2212729,2008.371,5/1/08
66,2202405,2008.455,6/1/08
67,2636697,2008.538,7/1/08
68,2601265,2008.623,8/1/08
69,2224572,2008.707,9/1/08
70,2173125,2008.79,10/1/08
