MJD,i_mag,err
5260.62701,17.613,0.015
5261.54182,17.612,0.014
5262.60856,17.640,0.014
5264.57225,17.640,0.013
5265.50605,17.650,0.015
5266.57097,17.664,0.017
5267.55231,17.644,0.016
5268.62687,17.687,0.016
5269.53622,17.690,0.015
5271.54501,17.695,0.014
5272.56217,17.668,0.016
5273.53414,17.667,0.014
5274.56531,17.684,0.014
5276.54436,17.677,0.013
5279.53250,17.644,0.017
5281.50793,17.654,0.015
5282.52663,17.658,0.014
5283.54274,17.663,0.021
5284.54607,17.655,0.016
5285.54764,17.639,0.023
5287.54090,17.630,0.018
5292.55783,17.654,0.016
5294.54062,17.616,0.015
5297.50879,17.607,0.014
5299.50626,17.605,0.016
5307.49584,17.591,0.016
5310.48657,17.583,0.019
5312.51433,17.574,0.020
5315.48522,17.581,0.019
5323.47101,17.663,0.017
5325.46468,17.615,0.021
5327.46455,17.622,0.017
5335.45920,17.659,0.018
5338.46572,17.775,0.028
5342.47356,17.697,0.029
5343.48314,17.648,0.027
5430.88672,17.599,0.015
5439.89617,17.595,0.014
5444.87827,17.600,0.013
5449.88299,17.595,0.012
5451.89205,17.621,0.015
5454.87776,17.608,0.011
5456.90346,17.636,0.011
5457.88580,17.634,0.011
5461.89809,17.666,0.013
5463.86313,17.707,0.014
5467.83712,17.690,0.013
5468.81111,17.717,0.013
5470.78354,17.688,0.012
5471.83381,17.699,0.012
5476.78950,17.642,0.010
5478.77825,17.645,0.011
5480.79194,17.620,0.012
5482.76816,17.628,0.013
5483.76614,17.609,0.015
5484.87562,17.587,0.011
5486.77466,17.585,0.013
5487.85363,17.568,0.011
5488.84753,17.587,0.010
5490.71378,17.553,0.014
5491.73409,17.574,0.012
5492.76762,17.565,0.012
5493.78992,17.574,0.013
5494.83464,17.596,0.014
5495.79181,17.579,0.012
5496.78961,17.606,0.015
5497.81980,17.575,0.014
5499.72681,17.607,0.013
5502.79695,17.586,0.011
5503.75221,17.591,0.011
5505.72187,17.592,0.013
5506.73935,17.578,0.011
5507.75747,17.576,0.009
5509.66587,17.614,0.012
5510.72180,17.600,0.011
5511.69798,17.616,0.012
5512.74104,17.617,0.011
5513.71132,17.619,0.012
5514.74387,17.606,0.011
5515.66114,17.620,0.014
5516.74668,17.605,0.011
5517.65979,17.623,0.014
5517.86072,17.624,0.015
5518.75620,17.617,0.018
5519.67972,17.646,0.021
5521.69947,17.647,0.016
5522.72460,17.629,0.016
5523.68930,17.658,0.014
5524.69775,17.637,0.012
5525.73082,17.671,0.011
5526.68287,17.644,0.011
5527.76361,17.682,0.011
5528.70463,17.688,0.014
5529.68497,17.673,0.013
5530.69217,17.677,0.012
5531.77536,17.703,0.011
5532.68346,17.687,0.011
5533.70681,17.688,0.013
5534.73836,17.686,0.012
5535.71514,17.701,0.012
5536.71782,17.695,0.012
5539.72807,17.663,0.011
5540.81220,17.642,0.012
5541.67839,17.636,0.014
5542.73678,17.637,0.011
5543.76830,17.622,0.015
5544.75581,17.638,0.012
5545.74507,17.626,0.012
5546.69475,17.589,0.013
5547.75453,17.575,0.013
5548.71451,17.575,0.013
5549.68063,17.580,0.014
5550.73447,17.569,0.013
5551.68497,17.564,0.014
5553.73804,17.553,0.013
5554.67135,17.562,0.013
5556.68597,17.565,0.010
5557.66711,17.541,0.011
5558.66803,17.538,0.011
5559.65821,17.603,0.016
5560.64989,17.550,0.011
5561.68346,17.585,0.014
5562.70303,17.563,0.011
5563.63700,17.544,0.012
5565.66829,17.551,0.012
5566.69557,17.556,0.011
5568.71587,17.571,0.015
5569.71042,17.589,0.012
5570.74916,17.602,0.012
5571.68099,17.568,0.011
5572.79742,17.578,0.013
5575.70246,17.608,0.013
5576.67668,17.613,0.011
5577.67821,17.587,0.013
5578.68499,17.611,0.013
5579.73535,17.573,0.016
5580.67903,17.584,0.011
5581.68149,17.597,0.014
5582.68928,17.594,0.014
5583.69606,17.618,0.012
5584.68209,17.629,0.013
5585.68193,17.629,0.013
5586.64570,17.647,0.013
5587.62781,17.659,0.011
5588.73179,17.595,0.014
5589.63783,17.638,0.011
5590.61634,17.673,0.013
5591.67516,17.652,0.011
5592.65741,17.648,0.011
5593.64037,17.661,0.012
5594.65657,17.658,0.012
5595.63524,17.683,0.012
5596.69838,17.669,0.011
5597.61583,17.659,0.014
5598.67997,17.667,0.011
5599.64575,17.659,0.013
5600.67850,17.655,0.012
5601.65813,17.670,0.011
5602.65684,17.662,0.011
5603.66559,17.666,0.014
5604.66274,17.655,0.014
5605.66783,17.666,0.011
5606.67918,17.646,0.013
5607.69060,17.600,0.015
5608.67747,17.589,0.017
5609.70919,17.639,0.017
5611.63975,17.617,0.017
5612.69227,17.586,0.017
5613.65474,17.617,0.015
5614.64739,17.568,0.013
5615.64118,17.566,0.012
5616.64993,17.572,0.012
5619.64041,17.542,0.010
5620.62640,17.504,0.014
5622.63507,17.538,0.013
5623.59795,17.531,0.012
5624.53905,17.568,0.013
5625.63070,17.535,0.012
5626.59180,17.539,0.013
5627.55650,17.540,0.011
5629.59675,17.546,0.011
5630.60817,17.528,0.014
5632.55628,17.550,0.014
5633.60527,17.558,0.012
5634.56569,17.568,0.015
5635.57000,17.587,0.015
