DATE,CUSR0000SEFW
1978-01-01,72.600
1978-02-01,73.000
1978-03-01,73.300
1978-04-01,73.800
1978-05-01,74.200
1978-06-01,74.500
1978-07-01,74.800
1978-08-01,75.200
1978-09-01,75.800
1978-10-01,76.300
1978-11-01,76.800
1978-12-01,77.300
1979-01-01,77.800
1979-02-01,78.300
1979-03-01,78.800
1979-04-01,79.200
1979-05-01,79.700
1979-06-01,80.300
1979-07-01,80.600
1979-08-01,81.000
1979-09-01,81.500
1979-10-01,82.400
1979-11-01,83.400
1979-12-01,83.800
1980-01-01,84.200
1980-02-01,84.500
1980-03-01,84.700
1980-04-01,85.900
1980-05-01,86.500
1980-06-01,87.000
1980-07-01,87.700
1980-08-01,88.400
1980-09-01,88.900
1980-10-01,89.200
1980-11-01,89.800
1980-12-01,90.300
1981-01-01,90.900
1981-02-01,91.600
1981-03-01,91.900
1981-04-01,92.100
1981-05-01,92.500
1981-06-01,93.000
1981-07-01,93.400
1981-08-01,93.900
1981-09-01,94.400
1981-10-01,93.900
1981-11-01,94.600
1981-12-01,94.900
1982-01-01,95.300
1982-02-01,95.700
1982-03-01,96.000
1982-04-01,96.500
1982-05-01,96.700
1982-06-01,96.800
1982-07-01,97.200
1982-08-01,97.900
1982-09-01,97.800
1982-10-01,97.900
1982-11-01,98.200
1982-12-01,98.400
1983-01-01,98.100
1983-02-01,99.000
1983-03-01,100.000
1983-04-01,100.400
1983-05-01,100.600
1983-06-01,100.800
1983-07-01,101.100
1983-08-01,100.800
1983-09-01,101.500
1983-10-01,101.600
1983-11-01,101.300
1983-12-01,100.900
1984-01-01,101.200
1984-02-01,101.700
1984-03-01,102.100
1984-04-01,102.300
1984-05-01,102.300
1984-06-01,102.600
1984-07-01,102.600
1984-08-01,102.700
1984-09-01,102.600
1984-10-01,103.300
1984-11-01,102.900
1984-12-01,102.900
1985-01-01,103.100
1985-02-01,103.700
1985-03-01,104.100
1985-04-01,104.000
1985-05-01,104.400
1985-06-01,104.400
1985-07-01,104.400
1985-08-01,104.900
1985-09-01,104.800
1985-10-01,108.500
1985-11-01,108.100
1985-12-01,108.000
1986-01-01,108.500
1986-02-01,109.000
1986-03-01,109.000
1986-04-01,109.500
1986-05-01,109.400
1986-06-01,109.400
1986-07-01,109.500
1986-08-01,109.300
1986-09-01,109.400
1986-10-01,109.500
1986-11-01,109.400
1986-12-01,109.500
1987-01-01,110.600
1987-02-01,110.700
1987-03-01,110.800
1987-04-01,111.000
1987-05-01,111.200
1987-06-01,111.100
1987-07-01,111.300
1987-08-01,111.700
1987-09-01,112.000
1987-10-01,112.300
1987-11-01,112.600
1987-12-01,112.600
1988-01-01,112.500
1988-02-01,113.000
1988-03-01,113.500
1988-04-01,113.700
1988-05-01,113.900
1988-06-01,114.100
1988-07-01,114.400
1988-08-01,114.700
1988-09-01,114.800
1988-10-01,115.000
1988-11-01,115.200
1988-12-01,115.300
1989-01-01,115.500
1989-02-01,115.900
1989-03-01,116.200
1989-04-01,116.500
1989-05-01,117.300
1989-06-01,117.900
1989-07-01,118.500
1989-08-01,118.700
1989-09-01,118.700
1989-10-01,119.200
1989-11-01,120.100
1989-12-01,120.300
1990-01-01,120.600
1990-02-01,121.100
1990-03-01,121.500
1990-04-01,121.900
1990-05-01,122.500
1990-06-01,122.900
1990-07-01,123.300
1990-08-01,123.700
1990-09-01,124.200
1990-10-01,124.500
1990-11-01,124.600
1990-12-01,124.800
1991-01-01,132.400
1991-02-01,136.900
1991-03-01,137.300
1991-04-01,137.500
1991-05-01,137.600
1991-06-01,137.800
1991-07-01,138.200
1991-08-01,138.600
1991-09-01,138.900
1991-10-01,139.300
1991-11-01,139.300
1991-12-01,139.300
1992-01-01,140.100
1992-02-01,140.600
1992-03-01,141.500
1992-04-01,141.300
1992-05-01,141.600
1992-06-01,141.800
1992-07-01,142.000
1992-08-01,141.800
1992-09-01,142.100
1992-10-01,142.300
1992-11-01,142.300
1992-12-01,142.200
1993-01-01,142.400
1993-02-01,142.700
1993-03-01,142.100
1993-04-01,142.100
1993-05-01,141.800
1993-06-01,141.900
1993-07-01,141.700
1993-08-01,142.000
1993-09-01,142.300
1993-10-01,142.300
1993-11-01,142.700
1993-12-01,142.800
1994-01-01,142.700
1994-02-01,142.500
1994-03-01,142.400
1994-04-01,142.300
1994-05-01,142.300
1994-06-01,142.600
1994-07-01,142.800
1994-08-01,142.400
1994-09-01,142.200
1994-10-01,142.200
1994-11-01,142.400
1994-12-01,142.400
1995-01-01,142.300
1995-02-01,142.200
1995-03-01,142.600
1995-04-01,142.900
1995-05-01,143.300
1995-06-01,142.900
1995-07-01,142.700
1995-08-01,143.600
1995-09-01,143.300
1995-10-01,143.700
1995-11-01,144.100
1995-12-01,143.600
1996-01-01,144.400
1996-02-01,145.100
1996-03-01,145.900
1996-04-01,145.900
1996-05-01,146.200
1996-06-01,146.600
1996-07-01,147.000
1996-08-01,147.300
1996-09-01,147.800
1996-10-01,148.100
1996-11-01,148.100
1996-12-01,148.500
1997-01-01,148.800
1997-02-01,149.000
1997-03-01,149.100
1997-04-01,149.100
1997-05-01,149.500
1997-06-01,149.400
1997-07-01,149.500
1997-08-01,149.900
1997-09-01,149.800
1997-10-01,149.900
1997-11-01,149.600
1997-12-01,149.800
1998-01-01,150.000
1998-02-01,149.800
1998-03-01,149.900
1998-04-01,150.100
1998-05-01,150.200
1998-06-01,150.500
1998-07-01,150.500
1998-08-01,150.600
1998-09-01,151.000
1998-10-01,151.200
1998-11-01,151.600
1998-12-01,151.900
1999-01-01,152.000
1999-02-01,152.700
1999-03-01,152.400
1999-04-01,152.800
1999-05-01,153.200
1999-06-01,153.400
1999-07-01,153.900
1999-08-01,154.200
1999-09-01,154.600
1999-10-01,154.400
1999-11-01,155.300
1999-12-01,155.900
2000-01-01,156.100
2000-02-01,156.500
2000-03-01,157.500
2000-04-01,157.600
2000-05-01,157.400
2000-06-01,158.100
2000-07-01,158.400
2000-08-01,158.700
2000-09-01,158.500
2000-10-01,158.900
2000-11-01,159.400
2000-12-01,159.700
2001-01-01,160.000
2001-02-01,160.200
2001-03-01,160.200
2001-04-01,160.300
2001-05-01,160.400
2001-06-01,160.800
2001-07-01,161.200
2001-08-01,161.500
2001-09-01,162.000
2001-10-01,162.200
2001-11-01,162.400
2001-12-01,162.000
2002-01-01,162.700
2002-02-01,163.500
2002-03-01,162.800
2002-04-01,163.300
2002-05-01,163.800
2002-06-01,164.000
2002-07-01,164.300
2002-08-01,164.700
2002-09-01,164.000
2002-10-01,165.000
2002-11-01,164.900
2002-12-01,165.400
2003-01-01,165.600
2003-02-01,165.500
2003-03-01,166.000
2003-04-01,165.800
2003-05-01,166.100
2003-06-01,166.200
2003-07-01,166.500
2003-08-01,166.600
2003-09-01,166.900
2003-10-01,167.300
2003-11-01,167.700
2003-12-01,168.200
2004-01-01,168.400
2004-02-01,168.400
2004-03-01,169.100
2004-04-01,170.100
2004-05-01,169.900
2004-06-01,170.300
2004-07-01,169.800
2004-08-01,170.400
2004-09-01,171.300
2004-10-01,171.400
2004-11-01,171.900
2004-12-01,172.000
2005-01-01,171.700
2005-02-01,171.800
2005-03-01,171.800
2005-04-01,172.300
2005-05-01,171.900
2005-06-01,171.900
2005-07-01,172.200
2005-08-01,172.600
2005-09-01,173.000
2005-10-01,172.800
2005-11-01,173.100
2005-12-01,172.600
2006-01-01,173.600
2006-02-01,174.200
2006-03-01,174.500
2006-04-01,174.500
2006-05-01,175.000
2006-06-01,175.500
2006-07-01,175.400
2006-08-01,175.100
2006-09-01,174.900
2006-10-01,175.400
2006-11-01,175.500
2006-12-01,174.900
2007-01-01,176.107
2007-02-01,176.747
2007-03-01,178.135
2007-04-01,178.052
2007-05-01,178.715
2007-06-01,179.497
2007-07-01,179.456
2007-08-01,180.203
2007-09-01,180.242
2007-10-01,180.533
2007-11-01,180.705
2007-12-01,180.679
2008-01-01,181.785
2008-02-01,182.565
2008-03-01,182.759
2008-04-01,183.732
2008-05-01,183.790
2008-06-01,183.800
2008-07-01,184.690
2008-08-01,185.179
2008-09-01,186.356
2008-10-01,187.165
2008-11-01,187.982
2008-12-01,188.832
2009-01-01,189.190
2009-02-01,189.170
2009-03-01,189.528
2009-04-01,188.699
2009-05-01,189.516
2009-06-01,190.101
2009-07-01,190.508
2009-08-01,191.157
2009-09-01,190.829
2009-10-01,190.927
2009-11-01,192.292
2009-12-01,191.493
2010-01-01,190.433
2010-02-01,190.246
2010-03-01,190.134
2010-04-01,190.140
2010-05-01,190.561
2010-06-01,190.579
2010-07-01,191.670
2010-08-01,191.411
2010-09-01,191.658
2010-10-01,191.898
2010-11-01,191.643
2010-12-01,191.335
2011-01-01,191.464
2011-02-01,191.852
2011-03-01,191.686
2011-04-01,192.189
2011-05-01,191.925
2011-06-01,191.966
2011-07-01,191.266
2011-08-01,191.564
2011-09-01,191.609
2011-10-01,192.109
2011-11-01,192.091
2011-12-01,191.676
2012-01-01,193.221
2012-02-01,193.253
2012-03-01,193.221
2012-04-01,193.063
2012-05-01,193.424
2012-06-01,193.800
2012-07-01,193.674
2012-08-01,193.198
2012-09-01,193.516
2012-10-01,193.293
2012-11-01,193.548
2012-12-01,193.741
2013-01-01,193.881
2013-02-01,194.702
2013-03-01,195.144
2013-04-01,195.572
2013-05-01,195.582
2013-06-01,195.946
2013-07-01,196.330
2013-08-01,196.525
2013-09-01,196.145
2013-10-01,195.873
