validerror,V1,V2,V3,V4,V5,V6,
tmp,0,0,2,0,norm,0.00045549835477728300 ,1
tmp,1,0,2,0,norm,0.00045550619772577600 ,1
tmp,0,1,2,0,norm,0.00045551351485278800 ,1
tmp,0,0,2,2,norm,0.00045553318907268400 ,1
tmp,0,0,2,1,norm,0.00045556601208102300 ,1
tmp,0,0,1,0,norm,0.00045557982969429900 ,1
tmp,0,0,1,0,norm,0.00045557982969429900 ,1
tmp,1,0,1,0,norm,0.00045560155157409800 ,1
tmp,0,1,1,0,norm,0.00045560906173683300 ,1
tmp,1,0,2,2,norm,0.00045563515634481000 ,1
tmp,1,0,2,1,norm,0.00045567018058145000 ,1
tmp,0,1,2,2,norm,0.00045568046476629900 ,1
tmp,0,1,2,1,norm,0.00045571462376399200 ,1
tmp,0,0,1,2,norm,0.00045571845445310000 ,1
tmp,0,0,1,1,norm,0.00045572036135346100 ,1
tmp,1,0,1,2,norm,0.00045581618919602500 ,1
tmp,1,0,1,1,norm,0.00045581981819580800 ,1
tmp,0,1,1,2,norm,0.00045586010375745700 ,1
tmp,0,1,1,1,norm,0.00045586405413995500 ,1
tmp,0,0,2,1,ged,0.00045601119949664700 ,1
tmp,0,0,2,2,ged,0.00045603657779099900 ,1
tmp,0,0,2,0,std,0.00045604579103391300 ,1
tmp,0,0,2,1,std,0.00045606242250664400 ,1
tmp,1,1,2,0,norm,0.00045606276092090900 ,
tmp,1,0,2,0,std,0.00045608905726320600 ,1
tmp,0,1,2,0,std,0.00045610142462569400 ,1
tmp,1,0,2,1,ged,0.00045613720912766500 ,1
tmp,2,0,1,0,norm,0.00045614451118180800 ,
tmp,1,0,2,2,ged,0.00045616352293046800 ,
tmp,0,0,1,0,std,0.00045616528342164400 ,1
tmp,0,0,1,0,std,0.00045616528342164400 ,1
tmp,0,1,2,1,ged,0.00045616719238237400 ,1
tmp,1,0,2,1,std,0.00045616906998224300 ,1
tmp,1,0,2,2,std,0.00045617554279184900 ,1
tmp,0,0,1,2,std,0.00045618095415096600 ,1
tmp,0,0,1,1,std,0.00045618346400983600 ,1
tmp,0,1,2,2,ged,0.00045619465494689900 ,1
tmp,0,1,2,1,std,0.00045620117118013000 ,1
tmp,2,0,2,0,norm,0.00045620328915882500 ,
tmp,0,0,1,2,ged,0.00045620484002938300 ,1
tmp,0,2,1,0,norm,0.00045620572475923300 ,1
tmp,1,0,1,0,std,0.00045620697097071000 ,1
tmp,0,0,1,1,ged,0.00045620827475226500 ,1
tmp,0,1,2,2,std,0.00045620860798657600 ,1
tmp,0,1,1,0,std,0.00045621459408203300 ,1
tmp,1,1,1,0,norm,0.00045626260473233500 ,
tmp,0,2,2,0,norm,0.00045626882146705600 ,1
tmp,1,0,1,2,std,0.00045628506944022700 ,1
tmp,1,0,1,1,std,0.00045629108591665200 ,1
tmp,2,0,2,2,norm,0.00045629804919262800 ,
tmp,2,0,2,1,norm,0.00045630781227240200 ,
tmp,0,1,1,2,std,0.00045631634583364100 ,1
tmp,0,1,1,1,std,0.00045632331756029400 ,1
tmp,1,0,1,2,ged,0.00045633042825979000 ,1
tmp,1,0,1,1,ged,0.00045633681987617400 ,1
tmp,0,1,1,2,ged,0.00045635940857372200 ,1
tmp,0,1,1,1,ged,0.00045636692958407300 ,1
tmp,2,0,1,2,norm,0.00045645680363933200 ,
tmp,2,0,1,1,norm,0.00045645823030086000 ,
tmp,0,2,2,1,norm,0.00045648179402603100 ,1
tmp,0,2,2,2,norm,0.00045648260237682600 ,1
tmp,1,2,2,0,norm,0.00045651779856629700 ,
tmp,2,1,2,0,norm,0.00045655685780319300 ,
tmp,1,1,2,2,norm,0.00045657448968615900 ,
tmp,1,1,2,1,norm,0.00045657835112161100 ,
tmp,1,2,1,0,norm,0.00045661206683143500 ,
tmp,2,0,2,1,ged,0.00045661893752973400 ,
tmp,2,0,1,0,std,0.00045662039919096400 ,
tmp,0,2,1,2,norm,0.00045662990042219000 ,1
tmp,0,2,1,1,norm,0.00045663140948029900 ,1
tmp,2,0,2,0,std,0.00045666620334493700 ,
tmp,2,1,1,0,norm,0.00045666739265611200 ,
tmp,0,2,1,0,std,0.00045670912529672300 ,1
tmp,2,0,2,2,ged,0.00045670985382517100 ,
tmp,1,1,1,2,norm,0.00045672613741388900 ,
tmp,1,1,1,1,norm,0.00045672744460757800 ,
tmp,0,2,2,1,ged,0.00045678516685917100 ,1
tmp,0,2,2,0,std,0.00045679011298020200 ,1
tmp,2,0,2,1,std,0.00045680665004960000 ,
tmp,2,0,1,2,ged,0.00045681124384097400 ,
tmp,2,0,1,2,std,0.00045681531746603300 ,
tmp,2,0,1,1,ged,0.00045681892940269000 ,
tmp,2,0,1,1,std,0.00045682679123763900 ,
tmp,2,0,2,2,std,0.00045683453362289800 ,
tmp,1,2,2,1,norm,0.00045684438707221100 ,
tmp,1,2,2,2,norm,0.00045684947395074700 ,
tmp,0,2,2,2,ged,0.00045686652050316800 ,1
tmp,2,1,2,1,norm,0.00045686997081020200 ,
tmp,2,2,1,0,norm,0.00045687725769259200 ,
tmp,2,1,2,2,norm,0.00045688678828661700 ,
tmp,0,2,1,2,ged,0.00045697390161246100 ,1
tmp,0,2,1,1,ged,0.00045698245712528300 ,1
tmp,0,2,2,1,std,0.00045698779639894400 ,1
tmp,0,2,1,2,std,0.00045699500593390600 ,1
tmp,1,2,1,2,norm,0.00045700535778477900 ,
tmp,1,2,1,1,norm,0.00045700546420004400 ,
tmp,0,2,1,1,std,0.00045700792181427500 ,1
tmp,0,2,2,2,std,0.00045702910116633500 ,1
tmp,2,1,1,1,norm,0.00045703692444637500 ,
tmp,2,1,1,2,norm,0.00045703784086466000 ,
tmp,1,1,2,1,ged,0.00045720212180941600 ,
tmp,1,1,2,1,std,0.00045721991666105100 ,
tmp,1,1,1,0,std,0.00045726687392654500 ,
tmp,1,1,2,0,std,0.00045727025145121700 ,
tmp,1,1,2,2,std,0.00045727682610645500 ,
tmp,1,1,1,2,std,0.00045728881787209000 ,
tmp,1,1,1,1,std,0.00045729563594147700 ,
tmp,2,2,2,0,std,0.00045730485731296700 ,
tmp,2,2,1,0,std,0.00045732498825994200 ,
tmp,1,1,1,2,ged,0.00045733368836747300 ,
tmp,1,2,2,2,ged,0.00045733798910706100 ,
tmp,1,1,1,1,ged,0.00045734049653975800 ,
tmp,1,2,1,0,std,0.00045735581809651800 ,
tmp,2,1,1,0,std,0.00045742127789273500 ,
tmp,1,2,2,0,std,0.00045742358058379500 ,
tmp,1,2,2,1,ged,0.00045744880437823800 ,
tmp,1,2,2,1,std,0.00045747134364050400 ,
tmp,2,1,2,1,ged,0.00045747806662520900 ,
tmp,2,1,2,0,std,0.00045748525249591100 ,
tmp,2,1,2,1,std,0.00045749456859584100 ,
tmp,1,2,1,2,std,0.00045754320795939900 ,
tmp,1,2,2,2,std,0.00045754768228713000 ,
tmp,1,2,1,1,std,0.00045755163113684400 ,
tmp,2,1,1,2,std,0.00045756624648754900 ,
tmp,2,1,2,2,ged,0.00045756954468683500 ,
tmp,2,1,2,2,std,0.00045757363277220400 ,
tmp,2,1,1,1,std,0.00045757450349420500 ,
tmp,1,2,1,1,ged,0.00045758895665424900 ,
tmp,1,2,1,2,ged,0.00045759089167460200 ,
tmp,2,1,1,2,ged,0.00045762161038300400 ,
tmp,2,1,1,1,ged,0.00045762760686818400 ,
tmp,2,2,1,2,std,0.00045784864015669200 ,
tmp,2,2,2,1,std,0.00045785568683158300 ,
tmp,2,2,1,1,std,0.00045785823786315400 ,
tmp,2,2,2,2,ged,0.00045804593431886000 ,
tmp,2,2,2,0,norm,0.00045967792005223900 ,
