DATE,price
2014/12/31,1199.25
2015/1/2,1184.25
2015/1/5,1192
2015/1/6,1211
2015/1/7,1213.75
2015/1/8,1206.5
2015/1/9,1211.25
2015/1/12,1222
2015/1/13,1239
2015/1/14,1228.75
2015/1/15,1235.25
2015/1/16,1258.25
2015/1/19,1275.5
2015/1/20,1292.25
2015/1/21,1298
2015/1/22,1287
2015/1/23,1293.5
2015/1/26,1282.75
2015/1/27,1279
2015/1/28,1287
2015/1/29,1275.5
2015/1/30,1263.5
2015/2/2,1274.25
2015/2/3,1281
2015/2/4,1269.25
2015/2/5,1263.75
2015/2/6,1264
2015/2/9,1242.25
2015/2/10,1237.5
2015/2/11,1235.5
2015/2/12,1225.25
2015/2/13,1225.75
2015/2/16,1233.5
2015/2/17,1221.75
2015/2/18,1206.5
2015/2/19,1217.75
2015/2/20,1203.5
2015/2/23,1193.5
2015/2/24,1195.5
2015/2/25,1206.5
2015/2/26,1220
2015/2/27,1205
2015/3/2,1216.75
2015/3/3,1207.75
2015/3/4,1204.25
2015/3/5,1199.75
2015/3/6,1196.5
2015/3/9,1173.75
2015/3/10,1161
2015/3/11,1158.75
2015/3/12,1161.25
2015/3/13,1156.5
2015/3/16,1157
2015/3/17,1154.75
2015/3/18,1149
2015/3/19,1164
2015/3/20,1171.75
2015/3/23,1181.4
2015/3/24,1193.25
2015/3/25,1192.55
2015/3/26,1209.4
2015/3/27,1198
2015/3/30,1187.4
2015/3/31,1179.25
2015/4/1,1181.25
2015/4/2,1201.5
2015/4/7,1208.5
2015/4/8,1211.1
2015/4/9,1196
2015/4/10,1201.9
2015/4/13,1197.85
2015/4/14,1191.45
2015/4/15,1189.85
2015/4/16,1204.6
2015/4/17,1204.55
2015/4/20,1203.25
2015/4/21,1197.7
2015/4/22,1202.4
2015/4/23,1187.75
2015/4/24,1192.15
2015/4/27,1182.75
2015/4/28,1201.4
2015/4/29,1204.8
2015/4/30,1204.3
2015/5/1,1179
2015/5/5,1187.4
2015/5/6,1191.25
2015/5/7,1183
2015/5/8,1185.25
2015/5/11,1184.75
2015/5/12,1184.45
2015/5/13,1193
2015/5/14,1214.75
2015/5/15,1216.3
2015/5/18,1228.15
2015/5/19,1219.65
2015/5/20,1206.75
2015/5/21,1209.6
2015/5/22,1211
2015/5/26,1194
2015/5/27,1187.85
2015/5/28,1189.45
2015/5/29,1190.4
2015/6/1,1187.3
2015/6/2,1188.75
2015/6/3,1186.6
2015/6/4,1182.45
2015/6/5,1175.9
2015/6/8,1173.4
2015/6/9,1181
2015/6/10,1186
2015/6/11,1180.5
2015/6/12,1179.25
2015/6/15,1178.25
2015/6/16,1182.1
2015/6/17,1178.5
2015/6/18,1198
2015/6/19,1198.15
2015/6/22,1193.7
2015/6/23,1183.35
2015/6/24,1175.75
2015/6/25,1174.6
2015/6/26,1174.4
2015/6/29,1176.5
2015/6/30,1175
2015/7/1,1171.7
2015/7/2,1164.3
2015/7/3,1168.25
2015/7/6,1164.25
2015/7/7,1166.25
2015/7/8,1154.25
2015/7/9,1162.1
2015/7/10,1162.4
2015/7/13,1154.95
2015/7/14,1153.2
2015/7/15,1154.75
2015/7/16,1145.1
2015/7/17,1143
2015/7/20,1115
2015/7/21,1108
2015/7/22,1096.8
2015/7/23,1101.65
2015/7/24,1083.75
2015/7/27,1098.6
2015/7/28,1095.6
2015/7/29,1096.75
2015/7/30,1085.65
2015/7/31,1080.05
2015/8/3,1093
2015/8/4,1092.6
2015/8/5,1086.5
2015/8/6,1085
2015/8/7,1091.35
2015/8/10,1094.8
2015/8/11,1113.25
2015/8/12,1116.8
2015/8/13,1117.35
2015/8/14,1116.75
2015/8/17,1117.3
2015/8/18,1119.15
2015/8/19,1123.2
2015/8/20,1137.95
2015/8/21,1149.35
2015/8/24,1153.5
2015/8/25,1154.25
2015/8/26,1134.4
2015/8/27,1128.5
2015/8/28,1125.5
2015/9/1,1141.9
2015/9/2,1140
2015/9/3,1130.05
2015/9/4,1125
2015/9/7,1121
2015/9/8,1120.85
2015/9/9,1122.3
2015/9/10,1107.75
2015/9/11,1106.35
2015/9/14,1108
2015/9/15,1105.5
2015/9/16,1109.75
2015/9/17,1118.15
2015/9/18,1136
2015/9/21,1136.85
2015/9/22,1129.3
2015/9/23,1124.6
2015/9/24,1134.45
2015/9/25,1145.5
2015/9/28,1137.5
2015/9/29,1124.6
2015/9/30,1122.5
2015/10/1,1114.2
2015/10/2,1106.3
2015/10/5,1134.35
2015/10/6,1136.9
2015/10/7,1147.9
2015/10/8,1143.3
2015/10/9,1151.5
2015/10/12,1164.2
