Time,Monthly_Overseas_Count,,,
2003-01-01,1259378,,,
2003-02-01,1239906,,,
2003-03-01,1247049,,,
2003-04-01,1268054,,,
2003-05-01,1367854,,,
2003-06-01,1414428,,,
2003-07-01,1775897,,,
2003-08-01,1831482,,,
2003-09-01,1694798,,,
2003-10-01,1684173,,,
2003-11-01,1524376,,,
2003-12-01,1718818,,,
2004-01-01,1318071,,,
2004-02-01,1378393,,,
2004-03-01,1576072,,,
2004-04-01,1690321,,,
2004-05-01,1700588,,,
2004-06-01,1756533,,,
2004-07-01,2056954,,,
2004-08-01,1969876,,,
2004-09-01,1790264,,,
2004-10-01,1745540,,,
2004-11-01,1556348,,,
2004-12-01,1783297,,,
2005-01-01,1421543,,,
2005-02-01,1447900,,,
2005-03-01,1809585,,,
2005-04-01,1724361,,,
2005-05-01,1815562,,,
2005-06-01,1893062,,,
2005-07-01,2216786,,,
2005-08-01,2045389,,,
2005-09-01,1942971,,,
2005-10-01,1870696,,,
2005-11-01,1591261,,,
2005-12-01,1899412,,,
2006-01-01,1504459,,,
2006-02-01,1376271,,,
2006-03-01,1639161,,,
2006-04-01,1895999,,,
2006-05-01,1752524,,,
2006-06-01,1807400,,,
2006-07-01,2188146,,,
2006-08-01,2072655,,,
2006-09-01,1915993,,,
2006-10-01,1900634,,,
2006-11-01,1687972,,,
2006-12-01,1927076,,,
2007-01-01,1530596,,,
2007-02-01,1498808,,,
2007-03-01,1864009,,,
2007-04-01,1895069,,,
2007-05-01,1943625,,,
2007-06-01,2021723,,,
2007-07-01,2403643,,,
2007-08-01,2402926,,,
2007-09-01,2127059,,,
2007-10-01,2160422,,,
2007-11-01,1864426,,,
2007-12-01,2179971,,,
2008-01-01,1667306,,,
2008-02-01,1663065,,,
2008-03-01,2054590,,,
2008-04-01,2043120,,,
2008-05-01,2212729,,,
2008-06-01,2202405,,,
2008-07-01,2636697,,,
2008-08-01,2601265,,,
2008-09-01,2224572,,,
2008-10-01,2173125,,,
2008-11-01,1757800,,,
2008-12-01,2104777,,,
2009-01-01,1539857,,,
2009-02-01,1477601,,,
2009-03-01,1670120,,,
2009-04-01,2053246,,,
2009-05-01,1911411,,,
2009-06-01,1965630,,,
2009-07-01,2446500,,,
2009-08-01,2438329,,,
2009-09-01,2139208,,,
2009-10-01,2201623,,,
2009-11-01,1738986,,,
2009-12-01,2173673,,,
2010-01-01,1667830,,,
2010-02-01,1620897,,,
2010-03-01,2033811,,,
2010-04-01,1914155,,,
2010-05-01,2232171,,,
2010-06-01,2300022,,,
2010-07-01,2819980,,,
2010-08-01,2690559,,,
2010-09-01,2431989,,,
2010-10-01,2455718,,,
2010-11-01,1927225,,,
2010-12-01,2268259,,,
2011-01-01,1893399,,,
2011-02-01,1708976,,,
2011-03-01,1957736,,,
2011-04-01,2412421,,,
2011-05-01,2330641,,,
2011-06-01,2519947,,,
2011-07-01,3048952,,,
2011-08-01,2970543,,,
2011-09-01,2638705,,,
2011-10-01,2606785,,,
2011-11-01,2062087,,,
2011-12-01,2389439,,,
2012-01-01,2011301,,,
2012-02-01,1849173,,,
2012-03-01,2316220,,,
2012-04-01,2418896,,,
2012-05-01,2515891,,,
2012-06-01,2675686,,,
