Year,Month,USD
2010,1,1.3686
2010,2,1.3569
2010,3,1.3406
2010,4,1.2565
2010,5,1.2209
2010,6,1.2770
2010,7,1.2894
2010,8,1.3067
2010,9,1.3898
2010,10,1.3661
2010,11,1.3220
2011,1,1.3360
2011,2,1.3649
2011,3,1.4000
2011,4,1.4442
2011,5,1.4349
2011,6,1.4388
2011,7,1.4264
2011,8,1.4343
2011,9,1.3770
2011,10,1.3706
2011,11,1.3556
2011,12,1.3179
2012,1,1.2905
2012,2,1.3224
2012,3,1.3201
2012,4,1.3162
2012,5,1.2789
2012,6,1.2526
2012,7,1.2288
2012,8,1.2400
2012,9,1.2856
2012,10,1.2974
2012,11,1.2828
2012,12,1.3119
2013,1,1.3288
2013,2,1.3359
2013,3,1.2964
2013,4,1.3026
2013,5,1.2982
2013,6,1.3189
2013,7,1.3080
2013,8,1.3310
2013,9,1.3348
2013,10,1.3635
2013,11,1.3493
2013,12,1.3704
2014,1,1.3610
2014,2,1.3659
2014,3,1.3823
2014,4,1.3813
2014,5,1.3732
2014,6,1.3592
2014,7,1.3539
2014,8,1.3316
2014,9,1.2901
2014,10,1.2673
2014,11,1.2472
2014,12,1.2331
2015,1,1.1621
2015,2,1.1350
2015,3,1.0838
2015,4,1.0779
2015,5,1.1150
2015,6,1.1213
2015,7,1.0996
2015,8,1.1139
2015,9,1.1221
2015,10,1.1235
2015,11,1.0736
2015,12,1.0877
2016,1,1.0860
2016,2,1.1093
2016,3,1.1100
2016,4,1.1339
2016,5,1.1311
2016,6,1.1289
2016,7,1.1069
2016,8,1.1212
2016,9,1.1212
2016,10,1.1026
2016,11,1.0799
2016,12,1.0543
2017,1,1.0614
2017,2,1.0643
2017,3,1.0685
2017,4,1.0723
2017,5,1.1058
2017,6,1.1229
2017,7,1.1511
2017,8,1.1807
2017,9,1.1915
2017,10,1.1756
2017,11,1.1738
2017,12,1.1836
2018,1,1.2200
2018,2,1.2348
2018,3,1.2336
2018,4,1.2276
2018,5,1.1812
2018,6,1.1678
2018,7,1.1686
2018,8,1.1549
2018,9,1.1659
2018,10,1.1484
2018,11,1.1367
2018,12,1.1384
2019,1,1.1416
2019,2,1.1351
2019,3,1.1302
2019,4,1.1238
2019,5,1.1185
2019,6,1.1293
2019,7,1.1151
2019,8,1.1126
2019,9,1.1004
2019,10,1.1053
2019,11,1.1051
2019,12,1.1113
2020,1,1.1100
2020,2,1.0905
