Date,USD
2020-02-28,1.0977
2020-02-27,1.0964
2020-02-26,1.0875
2020-02-25,1.084
2020-02-24,1.0818
2020-02-21,1.0801
2020-02-20,1.079
2020-02-19,1.08
2020-02-18,1.0816
2020-02-17,1.0835
2020-02-14,1.0842
2020-02-13,1.0867
2020-02-12,1.0914
2020-02-11,1.0901
2020-02-10,1.0951
2020-02-07,1.0969
2020-02-06,1.1003
2020-02-05,1.1023
2020-02-04,1.1048
2020-02-03,1.1066
2020-01-31,1.1052
2020-01-30,1.1029
2020-01-29,1.1001
2020-01-28,1.1005
2020-01-27,1.1025
2020-01-24,1.1035
2020-01-23,1.1091
2020-01-22,1.1088
2020-01-21,1.1115
2020-01-20,1.1085
2020-01-17,1.1108
2020-01-16,1.1169
2020-01-15,1.1142
2020-01-14,1.1115
2020-01-13,1.1126
2020-01-10,1.1091
2020-01-09,1.111
2020-01-08,1.1115
2020-01-07,1.1172
2020-01-06,1.1194
2020-01-03,1.1147
2020-01-02,1.1193
2019-12-31,1.1234
2019-12-30,1.1189
2019-12-27,1.1153
2019-12-24,1.108
2019-12-23,1.1075
2019-12-20,1.1097
2019-12-19,1.1117
2019-12-18,1.1115
2019-12-17,1.1162
2019-12-16,1.1146
2019-12-13,1.1174
2019-12-12,1.1137
2019-12-11,1.1075
2019-12-10,1.1077
2019-12-09,1.1075
2019-12-06,1.1094
2019-12-05,1.1094
2019-12-04,1.1081
2019-12-03,1.1071
2019-12-02,1.1023
2019-11-29,1.0982
2019-11-28,1.1005
2019-11-27,1.1009
2019-11-26,1.102
2019-11-25,1.1008
2019-11-22,1.1058
2019-11-21,1.1091
2019-11-20,1.1059
2019-11-19,1.1077
2019-11-18,1.1061
2019-11-15,1.1034
2019-11-14,1.0997
2019-11-13,1.1006
2019-11-12,1.1015
2019-11-11,1.1041
2019-11-08,1.1034
2019-11-07,1.1077
2019-11-06,1.109
2019-11-05,1.1109
2019-11-04,1.1158
2019-11-01,1.1139
2019-10-31,1.1154
2019-10-30,1.1106
2019-10-29,1.1095
2019-10-28,1.1087
2019-10-25,1.1107
2019-10-24,1.1128
2019-10-23,1.1123
2019-10-22,1.113
2019-10-21,1.1173
2019-10-18,1.1144
2019-10-17,1.1113
2019-10-16,1.1025
2019-10-15,1.1007
2019-10-14,1.1031
2019-10-11,1.1043
2019-10-10,1.103
2019-10-09,1.0981
2019-10-08,1.0986
2019-10-07,1.0993
2019-10-04,1.0979
2019-10-03,1.0951
2019-10-02,1.0925
2019-10-01,1.0898
2019-09-30,1.0889
2019-09-27,1.0935
2019-09-26,1.0938
2019-09-25,1.0982
2019-09-24,1.1003
2019-09-23,1.0985
2019-09-20,1.103
2019-09-19,1.1067
2019-09-18,1.1053
2019-09-17,1.1026
2019-09-16,1.1031
