AREA,SUB AREA,AGE GROUP,SEASON,WEEK,PERCENT P&I,NUM INFLUENZA DEATHS,NUM PNEUMONIA DEATHS,TOTAL DEATHS,PERCENT COMPLETE
State,Michigan,All,2015-16,40,6.3,0,116,"1,840",> 100%
State,Michigan,All,2015-16,41,6.2,0,108,"1,742",95.8%
State,Michigan,All,2015-16,42,6.4,0,118,"1,840",> 100%
State,Michigan,All,2015-16,43,6.7,0,121,"1,801",99%
State,Michigan,All,2015-16,44,6.9,1,125,"1,815",99.8%
State,Michigan,All,2015-16,45,5.6,0,100,"1,773",97.5%
State,Michigan,All,2015-16,46,6.2,0,112,"1,799",98.9%
State,Michigan,All,2015-16,47,6.2,0,105,"1,685",92.6%
State,Michigan,All,2015-16,48,5.5,0,99,"1,799",98.9%
State,Michigan,All,2015-16,49,6.5,0,120,"1,860",> 100%
State,Michigan,All,2015-16,50,5.3,0,98,"1,840",> 100%
State,Michigan,All,2015-16,51,6.8,0,124,"1,815",99.8%
State,Michigan,All,2015-16,52,6.8,0,118,"1,733",95.3%
State,Michigan,All,2015-16,1,6,0,113,"1,886",> 100%
State,Michigan,All,2015-16,2,5.8,2,114,"1,999",> 100%
State,Michigan,All,2015-16,3,7.6,3,144,"1,943",> 100%
State,Michigan,All,2015-16,4,8.5,3,156,"1,880",> 100%
State,Michigan,All,2015-16,5,6.8,0,125,"1,839",> 100%
State,Michigan,All,2015-16,6,8,1,151,"1,908",> 100%
State,Michigan,All,2015-16,7,8.3,4,161,"1,993",> 100%
State,Michigan,All,2015-16,8,8.2,6,159,"2,007",> 100%
State,Michigan,All,2015-16,9,7.2,12,130,"1,986",> 100%
State,Michigan,All,2015-16,10,7.3,15,133,"2,028",> 100%
State,Michigan,All,2015-16,11,8,20,132,"1,894",> 100%
State,Michigan,All,2015-16,12,7.8,10,137,"1,890",> 100%
State,Michigan,All,2015-16,13,7.6,14,123,"1,809",99.4%
State,Michigan,All,2015-16,14,6.5,11,118,"1,994",> 100%
State,Michigan,All,2015-16,15,7.1,5,130,"1,906",> 100%
State,Michigan,All,2015-16,16,6.8,9,118,"1,872",> 100%
State,Michigan,All,2015-16,17,6,5,106,"1,850",> 100%
State,Michigan,All,2015-16,18,6.6,3,119,"1,861",> 100%
State,Michigan,All,2015-16,19,6.8,1,125,"1,865",> 100%
State,Michigan,All,2015-16,20,5.9,0,105,"1,777",97.7%
State,Michigan,All,2015-16,21,5.6,0,102,"1,810",99.5%
State,Michigan,All,2015-16,22,5.7,1,99,"1,741",95.7%
State,Michigan,All,2015-16,23,5.9,2,104,"1,799",98.9%
State,Michigan,All,2015-16,24,5,2,84,"1,709",93.9%
State,Michigan,All,2015-16,25,4.9,0,85,"1,732",95.2%
State,Michigan,All,2015-16,26,5.5,1,92,"1,682",92.5%
State,Michigan,All,2015-16,27,6.1,0,106,"1,733",95.3%
State,Michigan,All,2015-16,28,4.9,0,84,"1,708",93.9%
State,Michigan,All,2015-16,29,4.8,0,79,"1,660",91.2%
State,Michigan,All,2015-16,30,5.5,1,95,"1,753",96.4%
State,Michigan,All,2015-16,31,4.8,0,82,"1,721",94.6%
State,Michigan,All,2015-16,32,6.8,0,122,"1,790",98.4%
State,Michigan,All,2015-16,33,4.5,0,74,"1,652",90.8%
State,Michigan,All,2015-16,34,5.6,0,96,"1,726",94.9%
State,Michigan,All,2015-16,35,5.1,0,85,"1,659",91.2%
State,Michigan,All,2015-16,36,5.5,1,97,"1,772",97.4%
State,Michigan,All,2015-16,37,5.2,0,90,"1,742",95.8%
State,Michigan,All,2015-16,38,4.7,0,84,"1,802",99.1%
State,Michigan,All,2015-16,39,5.9,1,109,"1,877",> 100%
State,Michigan,All,2016-17,40,6.1,0,114,"1,871",> 100%
State,Michigan,All,2016-17,41,5.2,0,95,"1,835",> 100%
State,Michigan,All,2016-17,42,5.7,0,106,"1,848",> 100%
State,Michigan,All,2016-17,43,4.8,0,90,"1,888",> 100%
State,Michigan,All,2016-17,44,5.5,0,101,"1,837",> 100%
State,Michigan,All,2016-17,45,5.5,0,98,"1,771",97.3%
State,Michigan,All,2016-17,46,6,0,115,"1,918",> 100%
State,Michigan,All,2016-17,47,5.3,0,93,"1,754",96.4%
State,Michigan,All,2016-17,48,6.7,1,126,"1,904",> 100%
State,Michigan,All,2016-17,49,6,4,109,"1,887",> 100%
State,Michigan,All,2016-17,50,5.7,0,113,"1,973",> 100%
State,Michigan,All,2016-17,51,4.8,2,92,"1,953",> 100%
