year mon day  VALUE
1980 01 01   67.0
1981 01 01   71.4
1982 01 01   71.0
1983 01 01   70.4
1984 01 01  100.1
1985 01 01   96.0
1986 01 01   95.6
1987 01 01   90.4
1988 01 01   90.8
1989 01 01   97.9
1990 01 01   93.0
1991 01 01   66.8
1992 01 01   67.5
1993 01 01   89.3
1994 01 01   94.3
1995 01 01   97.6
1996 01 01   89.3
1997 01 01   97.4
1998 01 01  106.6
1999 01 01  103.9
2000 01 01  112.0
2001 01 01   94.7
2002 01 01   93.0
2003 01 01   82.4
2004 01 01  103.8
2005 01 01   95.5
2006 01 01   91.2
2007 01 01   96.9
2008 01 01   78.4
2009 01 01   61.2
2010 01 01   74.4
