year Pricelevel
1980 96.85317478
1981 96.63098611
1982 96.95703392
1983 97.20658372
1984 97.63011236
1985 98.39488113
1986 98.48992859
1987 99.55671038
1988 99.85290085
1989 100.552511
1990 101.1131831
1991 100.7615916
1992 100.7611441
1993 101.6633144
1994 101.5908309
1995 101.9792475
1996 102.6130211
1997 102.8077722
1998 102.6748621
1999 103.2323083
2000 103.7727464
2001 103.0849774
2002 103.0766258
2003 102.2294447
2004 102.5321725
2005 102.248386
2006 102.2525311
2007 101.9581172
2008 101.5016056
2009 100.6829027
2010 101.4899876
